id,test_index,dialogue,english_summary,final_summary,reference_english_summary,reference_chinese_summary,pipeline,summarization_model,translation_model,num_model_calls
gold_00001,23,"Anne: You were right, he was lying to me :/
Irene: Oh no, what happened?
Jane: who? that Mark guy?
Anne: yeah, he told me he's 30, today I saw his passport - he's 40
Irene: You sure it's so important?
Anne: he lied to me Irene","Anne discovered that Mark, whom she thought was 30, is actually 40, revealing a lie that upsets her. Irene tries to downplay the significance of the age difference.",安妮发现她以为三十岁的马克实际上已经四十岁了，这让她很不高兴。艾琳试图淡化年龄差异的重要性。,Mark lied to Anne about his age. Mark is 40.,马克向安妮隐瞒了自己的年龄。他40岁了。,summarize_then_translate,aya-expanse:32b,aya-expanse:32b,2
gold_00002,30,"Mary: hey, im kinda broke, lend me a few box
Carter: okay, give me an hour, im at the train station
Mary: cool, thanks","Mary asks Carter for money, and Carter agrees to meet her in an hour at the train station.",玛丽向卡特要钱，卡特同意一小时后在火车站见面。,Mary ran out of money. Carter is going to lend her some in an hour.,玛丽的钱用完了，卡特打算一小时后借给她一点。,summarize_then_translate,aya-expanse:32b,aya-expanse:32b,2
gold_00003,39,"Tina: I'll tell you something, this Emirate staff looks amazing, as movie stars
Ala: Oh yes, I know, that's for purpose 
Ala: It's how it's suppose to be
Ala: They pay a lot of attention to the image
Tina: Looks nice, pleasure to observe
Tina: And I sucked at the airport, they've kept us one hour in the plane and finally I'll catch the evening flight back home
Tina: Could You imagine?
Tina: And you know, this way we had such a talkative pilot :-)
Ala: Oh, poor you
Ala: Pfff
Ala: And I'm on my way to a meeting
Tina: THE meeting?
Ala: Yes, keep your finger crossed
Tina: Sure, let me know how did it go
Ala: Ok darling, in touch","Tina compliments the appearance of Emirates staff while expressing frustration about her delayed flight and talkative pilot. Ala sympathizes and mentions an upcoming important meeting, asking Tina to keep her updated.",蒂娜（Tina）在表达对航班延误和健谈飞行员的沮丧的同时，也赞扬了阿联酋航空（Emirates）员工的外表。阿拉（Ala）表示同情，并提到即将召开的重要会议，请蒂娜随时向她通报情况。,Tina will catch the evening flight back home. Ala is on her way to the meeting. She will let Tina know how it went.,蒂娜将乘晚间航班回家。阿拉正在去开会的路上。她会让蒂娜知道事情的进展。,summarize_then_translate,aya-expanse:32b,aya-expanse:32b,2
gold_00004,65,"Ana: You sleeping?
Catherine: Not yet.
Ana: Wanna go visit grandma tomorrow? I miss her.
Catherine: Yeah that would be nice :) I'll call you when I wake up
Ana: Oki :) sleep well, good night.
Catherine:  Good night, u too.",Ana and Catherine plan to visit their grandmother tomorrow as Ana misses her. Catherine will call Ana when she wakes up.,安娜和凯瑟琳计划明天去看望她们的祖母，因为安娜想念她。凯瑟琳会在醒来时给安娜打电话。,Ana wants to visit grandma tomorrow. Catherine will go with her. She will call Anna when she wakes up.,安娜明天想去看望奶奶。凯瑟琳会和她一起去。她起床后会给安娜打电话。,summarize_then_translate,aya-expanse:32b,aya-expanse:32b,2
gold_00005,66,"Joyce: Check this out!
Joyce: <link>
Michael: That's cheap!
Edson: No way! I'm booking my ticket now!! ","Joyce shares a link to cheap tickets; Michael expresses surprise, while Edson immediately books one.",乔伊斯分享了一个便宜门票的链接；迈克尔表达了惊讶，而埃德森立即预订了一个。,Edson is booking his ticket now.,埃德森正在订票。,summarize_then_translate,aya-expanse:32b,aya-expanse:32b,2
gold_00006,67,"Jane: google maps says it is at least 3h <file_other>
Steven: I used to make it in 2, trust me :D
Jane: but it's almost 300km..
Steven: the road is new , we will make it ^^
Jane: I don't want  to stress out , let's meet at 4:30 instead of 5, ok?
Steven: ok, if u reaaly want, we can meet at 4:30
Jane: thx! 
Jane: I will wait at the main entrance or where?
Steven: main entrance is good for me;-) 
Steven: cu","Jane and Steven agree to meet at 4:30 instead of 5 due to a potentially longer travel time, with Steven assuring Jane that the road is new and they should make it on time. They plan to meet at the main entrance.",简（Jane）和史蒂文（Steven）因可能路程时间较长，同意将见面时间从五点改为四点半。史蒂文向简保证道路是新的，他们应该能准时到达。他们计划在正门见面。,Jane wants to leave at 4.30 instead of 5 because Google Maps suggests the 300 km drive should take them at least 3 hours and she doesn't want to be late. She will wait for Steven at the main entrance.,简想4点半就走，而不是等到5点，因为谷歌地图提示300公里的车程至少需要3小时，她不想迟到。她会在正门处等史蒂文。,summarize_then_translate,aya-expanse:32b,aya-expanse:32b,2
gold_00007,78,"Fiona: Are you free?
Tina: Yes, what's up?
Fiona: I'm trying to prepare a nice dinner for Chris and I thought that maybe I could prepare this tart of yours :)
Tina: I'm flattered!
Fiona: Well, it IS delicious :) Could help me do it?
Tina: Sure! It's not difficult. Do you have anything ready?
Fiona: I must admit I bought the crust...
Tina: Oh, ok :P Pity, but well, it's too late now.
Fiona: I tried making the filling once, but I finished with lemony scrambled eggs...
Tina: It happens, don't worry. The thing is that once you start adding eggs you can't stop mixing it, otherwise you'll end up with scrambled eggs.","Fiona asks Tina for help in preparing a tart for Chris. Tina agrees to help, but notes that Fiona should not overmix the filling or it will turn into scrambled eggs.",菲奥娜（Fiona）请蒂娜（Tina）帮忙准备一个馅饼给克里斯（Chris）。蒂娜同意帮忙，但指出菲奥娜不要将馅料搅拌过度，否则会变成炒鸡蛋。,Fiona wants to prepare dinner for Chris. She is thinking of Tina's tart. She will help her make it.,菲奥娜想为克里斯准备晚餐。她想起了蒂娜做的馅饼。蒂娜会帮她做的。,summarize_then_translate,aya-expanse:32b,aya-expanse:32b,2
gold_00008,86,"Olafur: are we doing anything for New Year's Eve?
Nathalie: I was thinking about something classy, like opera or sth like that
Zoe: how much does it cost?
Olafur: opera is not for me
Nathalie: so what do you propose?
Nathalie: it's 100$ 
Olafur: I was thinking about partying somewhere
Nathalie: partying sounds fun, as long as it will be classy
Zoe: <file_link>
Zoe: Breakfast at Tiffany's party sounds classy
Olafur: <file_link> 
Olafur: is it classy enough?
Nathalie: :O
Nathalie: this club is AMAZING
Zoe: whoa
Nathalie: we'll going to Soho then
Olafur: we just need to hurry up and buy some tickets soon
Zoe: sure","Olafur, Nathalie, and Zoe are planning a New Year's Eve party. They decide on a classy club event in Soho after considering opera and a themed party. They need to buy tickets soon.",奥拉弗、娜塔莉和佐伊正在计划一个跨年派对。他们在考虑了歌剧和主题派对之后，决定在苏荷区举办一个高档的俱乐部活动。他们需要尽快购买门票。,"Nathalie, Olafur and Zoe are planning the New Year's Eve. Nathalie wants something classy. Olafur doesn't like opera. They want to go to the Breakfast at Tiffany's party in Soho.",娜塔莉、奥拉维尔和佐伊正在做新年前夜的计划。娜塔莉想要有格调的。但奥拉维尔不喜欢歌剧。他们想去苏豪区蒂芙尼的聚会上吃早餐。,summarize_then_translate,aya-expanse:32b,aya-expanse:32b,2
gold_00009,120,"John: wanna go see ""A Star is Born"" on Wed?
Joan: sorry can't
Joan: super busy 
Joan: don't have time for anything :( 
John: that's a shame
Joan: I'm free on Thursday
John: I could do Thursday
Joan: ok! so around 8pm?
John: sure sounds great
John: I'll see where it's palying and send you the details
Joan: ok great!","John and Joan plan to watch ""A Star is Born"" on Thursday at 8 pm after Joan indicates she is free that day. John will send Joan the movie's location details.",约翰和琼计划在周四晚上八点观看《一个明星的诞生》，因为琼表示那天她有空。约翰会给琼发送电影地点的详细信息。,"Joan and John are going to watch ""A Star is Born"" on Thursday around 8 p.m.",琼和约翰星期四晚上8点左右去看《一个明星的诞生》。,summarize_then_translate,aya-expanse:32b,aya-expanse:32b,2
gold_00010,137,"Peyton: I have been asking you to bring that video game for me
Cameron: Honey, I am not having enough time to come home
Peyton: When would you come home?
Cameron: I will have to stay out of town for another week i guess
Peyton: Cant you just deliver that game through the courier? :P
Cameron: Dont be mean :/
Peyton: Get the job done and come to home then. ASAP :P","Peyton requests Cameron bring a video game, but Cameron is out of town for another week. Peyton suggests using a courier, but Cameron refuses.",佩顿要求卡梅伦带一个电子游戏，但卡梅伦要再出差一周。佩顿建议使用快递，但卡梅伦拒绝了。,Peyton is expecting Cameron to bring the video game. Cameron will probably be out for another week.,佩顿希望卡梅隆能带游戏机过来，但是卡梅隆可能还要再缺席一周。,summarize_then_translate,aya-expanse:32b,aya-expanse:32b,2
