,reference,prediction,rouge1,rouge2,rougeL,bs_f1_raw,bs_f1_rescaled
0,Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,Hannah is looking for Betty's number. Larry called her last time they were at the park together. Hannah doesn't know him well. Amanda suggests Hannah to text him.,39.13,13.64,30.43,90.48,43.58
1,Eric and Rob are going to watch a stand-up on youtube.,Eric and Rob are watching a Russian comedian's stand-up.,60.87,38.1,60.87,94.65,68.31
2,Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,Lenny will buy the first or the third pair of purple trousers from Bob.,27.91,0.0,18.6,88.91,34.28
3,Emma will be home soon and she will let Will know.,Emma doesn't want to cook dinner tonight. She will be home soon. Will will pick her up.,55.17,29.63,48.28,91.39,48.96
4,Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,Jane is back from Morocco. Ollie and Jane will meet for lunch on Friday at 6 pm after Jane finishes her courses.,49.23,22.22,36.92,89.77,39.38
5,Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,"Benjamin, Elliot and Hilary are going to have lunch with French people who work on the history of food in colonial Mexico at La Cantina at 2 pm. They will try to avoid talking about their subject of research.",39.58,12.77,29.17,88.87,34.04
6,Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,"Payton likes browsing, trying on, looking in the mirror and seeing how she looks, but not always buying. She usually buys things from 2 or 3 different sites. She loves reading.",45.9,20.34,42.62,91.06,47.04
7,Rita and Tina are bored at work and have still 4 hours left.,Rita is tired at work and keeps falling asleep at her keyboard. Tina hates her work too.,33.33,14.29,26.67,90.84,45.73
8,"Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.","Beatrice is in town, shopping. She will buy a scarf for Leo. Last winter Leo had a cold all the time.",32.65,8.51,24.49,90.29,42.49
9,Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,Eric is not sure if he will come to Ivan's brother's wedding. Ivan will take care of Eric's parents.,51.16,34.15,46.51,94.25,65.91
10,Wanda wants to throw a party. She asks Gina to borrow her father's car and go do groceries together. They set the date for Friday. ,Wanda and Gina are going to have a party on Friday. Wanda needs to make a list. Gina will take her father's car and go grocery shopping with her.,46.43,22.22,39.29,92.71,56.8
11,Martin wrote a short review and won 2 cinema tickets on FB. Martin wants Aggie to go with him this week for the new film with Redford.,Martin won two cinema tickets online. He will see the new film with Redford till the end of the week.,42.55,22.22,38.3,92.88,57.8
12,Charlee is attending Portuguese theater as a subject at university. He and other students are preparing a play by Mrożek translated into Portuguese.,Charlee is preparing a performance in Portuguese. The writer is Mrożek.,35.29,12.5,29.41,92.46,55.35
13,"Ella rented a car, this makes things much faster for her and Tom. ",Ella rented a car to go by car.,38.1,31.58,38.1,92.0,52.61
14,Paul is going to share his Netflix account with Luke. In exchange Luke is going to contribute to the subscription. Paul will send Luke his bank details. Paul is on vacation with his girlfriend till tomorrow.,Paul is looking for a new member of Netflix family. Luke will send him the login and password on Sunday. He will also send Paul the bank account details so he can wire him the money every month. Paul is on holidays with his girlfriend.,41.98,15.19,37.04,90.57,44.13
15,"Greg and Betsy have a lot of work today, so they cannot pick up Johnny from the kindergarten. However, it's Greg's turn to do it. Greg will try to find a solution.",Greg needs to stay after hours. He will pick up Johnny from kindergarten on Tuesdays.,32.65,12.77,24.49,90.09,41.26
16,"Ethan, Toby and Marshall are making fun of Scott.","Ethan sends Marshall, Toby and Scott a photo of himself and Scott.",57.14,10.53,47.62,93.34,60.54
17,Igor has a lot of work on his notice period and he feels demotivated. John thinks he should do what he has to do nevertheless. ,Igor has a lot of work to do at work. He has two weeks left.,50.0,36.84,45.0,90.72,45.04
18,Clara is rewatching Dear White People and strongly recommends it to Neela.,"Clara is watching Dear White People on Netflix. It's about a fictional Ivy League University and the students in one House of Residence. There is a Blackface party held by an elite group of white students, which gets out of hand. The black students try to break it up and there is an incident where one guy, Reggie, gets a loaded gun pointed at him by a campus policeman after he gets into an argument with a white student.",17.39,6.67,15.22,85.24,12.52
19,Mike took his car into garage today. Ernest is relieved as someone had just crashed into a red Honda which looks like Mike's. ,Mike took his car into the garage today. Someone crashed into his red Honda.,63.16,38.89,63.16,93.75,62.96
20,Beth wants to organize a girls weekend to celebrate her mother's 40th birthday. She also wants to work at Deidre's beauty salon. Deidre offers her a few hours on Saturdays as work experience. They set up for a meeting tomorrow.,Beth wants to work in a beauty salon as a work experience. Deirdre is looking for Saturday girls. Maxine manages the beauty side. Beth will meet her tomorrow after school.,41.1,14.08,30.14,90.35,42.85
21,Gloria has an exam soon. It lasts 4 hours. Emma sent her a link to a website with some texts from previous years so that she can prepare for the exam better.,Gloria and Emma are preparing for the exam. They have 4 hours to prepare.,39.13,13.64,26.09,91.37,48.88
22,Adam and Karen are worried that May suffers from depression. Karen will call her friend who is a psychologist and ask for advice. ,"May is depressed. Karen suggested she should see a specialist, but May doesn't want to see one. Karen will call a psychologist for advice.",41.67,17.39,37.5,91.28,48.32
23,Mark lied to Anne about his age. Mark is 40.,Mark lied to Anne about his age. Anne saw his passport today.,63.64,60.0,63.64,95.21,71.63
24,"Next week is Wharton's birthday. Augustine, Darlene, Heather and Walker want to buy him a paper shredder. Walker will make sure if Wharton really wants it. ","It's Wharton's birthday next week. Darlene, Walker and Heather will buy him a paper shredder. They will ask him about it at the party tomorrow.",59.26,26.92,44.44,93.8,63.28
25,"Kelly is scared of sculpture garden figures in Finnland, she finds figure's faces morbid. For Ollie it's Nagoro village in Japan, it's creepy. ","Ollie, Kelly and Mickey are going to a sculpture garden in Finnland. Kelly's place is scary because of the number of human-sized figures and their faces. Ollie is going to Nagoro village in Japan.",48.39,16.67,38.71,91.37,48.84
26,Selah called a person that did not pick up.,Selah can't see the phone number very well.,11.11,0.0,11.11,89.72,39.07
27,Bella and Eric dismissed a request of a client. Their boss appreciated the decision. He brings in new clients.,Bella's boss appreciated their decision to dismiss the request of client. He was looking forward to bringing in new clients.,65.0,21.05,40.0,94.53,67.6
28,Emma is about to take a nap in the back of the bus to New York. Ben and Emma will be there around 4.30 pm. Ben will wake Emma up 15 minutes prior to their arrival.,Emma is at the rare of the bus. She will take a nap. Ben will wake her up around 4.15. They are going to arrive to NY around 4:30 PM.,60.87,29.85,37.68,92.78,57.2
29,"Jesse, Melvin, Lee and Maxine are going to take part in the Christmas charity action of the foundation called Refuge, which helps women and children who escape from abuse.","Jesse, Melvin, Lee and Maxine are going to chip in for the Refuge to help women and children who escape from abuse.",70.59,53.06,70.59,94.52,67.56
30,Mary ran out of money. Carter is going to lend her some in an hour.,Carter will lend Mary a few box in an hour.,48.0,17.39,40.0,91.68,50.71
31,"Paula helped Charlotte with correct pronunciation of ""Natal lily"".",Charlotte asks Paula how to pronounce 'Natal lily'.,47.06,13.33,35.29,93.91,63.94
32,Jack and May will drink cocktails later.,Jack and May are going for a drink later.,62.5,28.57,62.5,96.45,78.99
33,Margaret is suffering from a terrible headache and wants Jack to buy her some painkillers. ,Margaret has a terrible headache. Jack will buy her some painkillers.,69.23,41.67,69.23,96.34,78.31
34,Serge is on his way to pick up the film equipment for the shooting tonight. Andrei and Serge are late with a large payment to the company. Serge and Andrei will try to use the credit card to pay the company.,Serge is on his way to pick up the film equipment for tonight's shooting. Andrei has an outstanding bill to pay with the company.,60.61,40.62,54.55,94.77,69.02
35,Martina advises against getting a hamster. ,Janice's son wants her to get him a hamster for his birthday. Martina doesn't want it as she got one for her son and it stank up the whole house.,15.79,5.56,10.53,89.42,37.33
36,Mary has played DA Inquisition. Lucas has played DA II. Daniel started playing DA Inquisition.,Daniel has just started playing DA Inquisition. Mary and Lucas love it.,59.26,24.0,37.04,91.77,51.26
37,Judy thinks she's always attracted to bad guys.,Judy is always attracted to jerks. Andrew wanted to fuck her but stopped calling and texting. Bruce is sweet but Judy doesn't feel the butterflies.,22.86,12.12,22.86,90.53,43.88
