model,schema_field,quality_score,primary_metric,primary_value,supporting_metrics,main_failure_signal,interpretation
aya32b,schema_validity,0.98,1 - parse_error_rate,0.98,"parse_error_rate=0.020, parse_errors=1/50",invalid or unparsable Agent 1 semantic representation,strong schema stability; parse errors prevent downstream field evaluation.
aya32b,participants,1.0,participant_f1,1.0,participant_mismatch_examples=0/50,missing or extra speaker names,strong participant identification; this is not the main bottleneck for this model.
aya32b,semantic_grounding.overall,0.581782960803369,"mean(event_coverage, 1-extra_event_rate, granularity_score)",0.581782960803369,"event_coverage=0.849, extra_event_rate=0.458, event_count_diff_mean=1.939, omitted_events/example=0.580, extra_events/example=2.429","missed core events, extra/background events, or unstable event granularity",fragile event grounding; inspect omission and extra-event signals separately.
aya32b,semantic_grounding.event_coverage,0.8493333333333334,event_coverage,0.8493333333333334,"examples_with_omitted_events=20/50, omitted_events/example=0.580",reference events omitted from model representation,moderate coverage of reference semantic events.
aya32b,semantic_grounding.event_granularity,0.3537414965986395,"1 - min(abs(event_count_diff_mean)/3, 1)",0.3537414965986395,"event_count_diff_mean=1.939, over_segmented_examples=44/50, under_segmented_examples=0/50, extra_event_rate=0.458",over-segmentation or under-segmentation of dialogue events,weak event granularity control.
aya32b,semantic_grounding.speaker,0.957,speaker_slot_accuracy,0.957,"speaker_missing_count/example=0.000, speaker_mismatch_count/example=0.122",wrong speaker assignment for aligned events,strong speaker attribution within semantic events.
aya32b,semantic_grounding.speech_act,0.6156462585034014,speech_act_category_accuracy,0.6156462585034014,weak_match_count/example=0.367,"incorrect pragmatic function such as request, update, commitment, or confirmation",fragile speech-act categorization.
aya32b,semantic_grounding.intended_meaning,0.4525150848445389,intended_meaning_similarity,0.4525150848445389,"final_outcome_similarity=0.481, event_coverage=0.849",literal or partial interpretation instead of concise semantic meaning,weak intended-meaning abstraction from dialogue turns.
aya32b,semantic_grounding.actor,0.315,actor_slot_accuracy,0.315,"actor_null_rate=0.592, actor_missing_count/example=1.347, actor_mismatch_count/example=0.429",missing or incorrect actor role in aligned events,weak actor role filling; null and mismatch rates show why.
aya32b,semantic_grounding.action,0.179,action_slot_accuracy,0.179,"action_null_rate=0.356, action_missing_count/example=0.694, action_mismatch_count/example=1.592",missing or incorrect action role in aligned events,weak action role filling; null and mismatch rates show why.
aya32b,semantic_grounding.object,0.507,object_slot_accuracy,0.507,"object_null_rate=0.332, object_missing_count/example=0.429, object_mismatch_count/example=0.776",missing or incorrect object role in aligned events,weak object role filling; null and mismatch rates show why.
aya32b,semantic_grounding.recipient,0.5,recipient_slot_accuracy,0.5,"recipient_null_rate=0.240, recipient_missing_count/example=0.102, recipient_mismatch_count/example=0.367",missing or incorrect recipient role in aligned events,weak recipient role filling; null and mismatch rates show why.
aya32b,semantic_grounding.evidence,0.8283553448131207,evidence_similarity,0.8283553448131207,"event_coverage=0.849, weak_match_count/example=0.367",evidence quote does not support the aligned reference event,moderate evidence grounding for extracted events.
aya32b,final_outcome,0.4805686235361091,final_outcome_similarity,0.4805686235361091,"low_final_outcome_examples=11/50, informativeness=2.691, faithfulness=3.023",final concise outcome drifts from reference outcome,weak final-outcome preservation.
gemma27b,schema_validity,0.88,1 - parse_error_rate,0.88,"parse_error_rate=0.120, parse_errors=6/50",invalid or unparsable Agent 1 semantic representation,strong schema stability; parse errors prevent downstream field evaluation.
gemma27b,participants,0.9891774891774893,participant_f1,0.9891774891774893,participant_mismatch_examples=2/50,missing or extra speaker names,strong participant identification; this is not the main bottleneck for this model.
gemma27b,semantic_grounding.overall,0.7891616161616163,"mean(event_coverage, 1-extra_event_rate, granularity_score)",0.7891616161616163,"event_coverage=0.677, extra_event_rate=0.249, event_count_diff_mean=0.182, omitted_events/example=1.060, extra_events/example=0.955","missed core events, extra/background events, or unstable event granularity",moderate event grounding; inspect omission and extra-event signals separately.
gemma27b,semantic_grounding.event_coverage,0.6773333333333333,event_coverage,0.6773333333333333,"examples_with_omitted_events=25/50, omitted_events/example=1.060",reference events omitted from model representation,fragile coverage of reference semantic events.
gemma27b,semantic_grounding.event_granularity,0.9393939393939394,"1 - min(abs(event_count_diff_mean)/3, 1)",0.9393939393939394,"event_count_diff_mean=0.182, over_segmented_examples=15/50, under_segmented_examples=10/50, extra_event_rate=0.249",over-segmentation or under-segmentation of dialogue events,strong event granularity control.
gemma27b,semantic_grounding.speaker,0.992,speaker_slot_accuracy,0.992,"speaker_missing_count/example=0.000, speaker_mismatch_count/example=0.023",wrong speaker assignment for aligned events,strong speaker attribution within semantic events.
gemma27b,semantic_grounding.speech_act,0.6686046511627907,speech_act_category_accuracy,0.6686046511627907,weak_match_count/example=0.205,"incorrect pragmatic function such as request, update, commitment, or confirmation",fragile speech-act categorization.
gemma27b,semantic_grounding.intended_meaning,0.5288364670890393,intended_meaning_similarity,0.5288364670890393,"final_outcome_similarity=0.523, event_coverage=0.677",literal or partial interpretation instead of concise semantic meaning,weak intended-meaning abstraction from dialogue turns.
gemma27b,semantic_grounding.actor,0.615,actor_slot_accuracy,0.615,"actor_null_rate=0.223, actor_missing_count/example=0.500, actor_mismatch_count/example=0.568",missing or incorrect actor role in aligned events,fragile actor role filling; null and mismatch rates show why.
gemma27b,semantic_grounding.action,0.433,action_slot_accuracy,0.433,"action_null_rate=0.000, action_missing_count/example=0.000, action_mismatch_count/example=1.500",missing or incorrect action role in aligned events,weak action role filling; null and mismatch rates show why.
gemma27b,semantic_grounding.object,0.493,object_slot_accuracy,0.493,"object_null_rate=0.267, object_missing_count/example=0.477, object_mismatch_count/example=0.659",missing or incorrect object role in aligned events,weak object role filling; null and mismatch rates show why.
gemma27b,semantic_grounding.recipient,0.654,recipient_slot_accuracy,0.654,"recipient_null_rate=0.257, recipient_missing_count/example=0.068, recipient_mismatch_count/example=0.250",missing or incorrect recipient role in aligned events,fragile recipient role filling; null and mismatch rates show why.
gemma27b,semantic_grounding.evidence,0.8128439667160839,evidence_similarity,0.8128439667160839,"event_coverage=0.677, weak_match_count/example=0.205",evidence quote does not support the aligned reference event,moderate evidence grounding for extracted events.
gemma27b,final_outcome,0.5230401142512836,final_outcome_similarity,0.5230401142512836,"low_final_outcome_examples=7/50, informativeness=2.537, faithfulness=3.118",final concise outcome drifts from reference outcome,weak final-outcome preservation.
qwen27b,schema_validity,1.0,1 - parse_error_rate,1.0,"parse_error_rate=0.000, parse_errors=0/50",invalid or unparsable Agent 1 semantic representation,strong schema stability; parse errors prevent downstream field evaluation.
qwen27b,participants,0.9933333333333333,participant_f1,0.9933333333333333,participant_mismatch_examples=1/50,missing or extra speaker names,strong participant identification; this is not the main bottleneck for this model.
qwen27b,semantic_grounding.overall,0.810111111111111,"mean(event_coverage, 1-extra_event_rate, granularity_score)",0.810111111111111,"event_coverage=0.821, extra_event_rate=0.271, event_count_diff_mean=0.360, omitted_events/example=0.660, extra_events/example=1.020","missed core events, extra/background events, or unstable event granularity",moderate event grounding; inspect omission and extra-event signals separately.
qwen27b,semantic_grounding.event_coverage,0.8213333333333332,event_coverage,0.8213333333333332,"examples_with_omitted_events=22/50, omitted_events/example=0.660",reference events omitted from model representation,moderate coverage of reference semantic events.
qwen27b,semantic_grounding.event_granularity,0.88,"1 - min(abs(event_count_diff_mean)/3, 1)",0.88,"event_count_diff_mean=0.360, over_segmented_examples=22/50, under_segmented_examples=6/50, extra_event_rate=0.271",over-segmentation or under-segmentation of dialogue events,strong event granularity control.
qwen27b,semantic_grounding.speaker,0.987,speaker_slot_accuracy,0.987,"speaker_missing_count/example=0.000, speaker_mismatch_count/example=0.040",wrong speaker assignment for aligned events,strong speaker attribution within semantic events.
qwen27b,semantic_grounding.speech_act,0.682,speech_act_category_accuracy,0.682,weak_match_count/example=0.320,"incorrect pragmatic function such as request, update, commitment, or confirmation",fragile speech-act categorization.
qwen27b,semantic_grounding.intended_meaning,0.5427565123413615,intended_meaning_similarity,0.5427565123413615,"final_outcome_similarity=0.485, event_coverage=0.821",literal or partial interpretation instead of concise semantic meaning,weak intended-meaning abstraction from dialogue turns.
