model,row_idx,test_index,summary_field,summary_text,summary_tokens,source_file
mBART,0,23,predicted_zh,那个30岁的马克骗艾琳。,7,data/gold_results/mbart/mbart_gold_50_results.json
mBART,1,30,predicted_zh,玛丽把一些盒子借给了卡特。卡特在火车站。,10,data/gold_results/mbart/mbart_gold_50_results.json
mBART,2,39,predicted_zh,艾拉和蒂娜的埃米里特工作人员看起来像电影明星。蒂娜在飞机上耽误了一个小时。艾拉正在去开会的路上。,24,data/gold_results/mbart/mbart_gold_50_results.json
mBART,3,65,predicted_zh,安娜明天想去看望她奶奶。凯瑟琳醒来后会给安娜打电话。,13,data/gold_results/mbart/mbart_gold_50_results.json
mBART,4,66,predicted_zh,乔伊斯给迈克尔和艾德森发了一个链接。,8,data/gold_results/mbart/mbart_gold_50_results.json
mBART,5,67,predicted_zh,简和史蒂文将在4点30分在主入口处见面。,10,data/gold_results/mbart/mbart_gold_50_results.json
mBART,6,78,predicted_zh,菲奥娜为克里斯准备了一顿丰盛的晚餐。蒂娜会为她准备一个馅饼。,15,data/gold_results/mbart/mbart_gold_50_results.json
mBART,7,86,predicted_zh,娜塔莉和佐伊打算在索霍举办除夕派对。,10,data/gold_results/mbart/mbart_gold_50_results.json
mBART,8,120,predicted_zh,乔安星期三晚上8点会去看《一个明星是出生的》。,12,data/gold_results/mbart/mbart_gold_50_results.json
mBART,9,137,predicted_zh,"佩顿想让卡梅隆把那部电子游戏给佩顿,但他没有时间回家,所以他会通过快递把游戏送来。",21,data/gold_results/mbart/mbart_gold_50_results.json
mBART,10,139,predicted_zh,保罗回家了。他忘了进行理疗。艾玛会在午夜后回家。保罗会为她准备一些食物。,19,data/gold_results/mbart/mbart_gold_50_results.json
mBART,11,192,predicted_zh,"哈里斯的朋友青木昨天去世了。她住在密歇根,最近没见过她。莉娜的妈妈会打电话给她。",22,data/gold_results/mbart/mbart_gold_50_results.json
mBART,12,210,predicted_zh,玛丽和亚兹今晚6点左右要去健身房。,9,data/gold_results/mbart/mbart_gold_50_results.json
mBART,13,211,predicted_zh,艾莉和阿莉亚在342号大楼上课。,8,data/gold_results/mbart/mbart_gold_50_results.json
mBART,14,212,predicted_zh,亚伦的猫在找耶稣。,6,data/gold_results/mbart/mbart_gold_50_results.json
mBART,15,215,predicted_zh,弗雷迪、凯莉、吉姆、鲍勃、格雷格、南希和凯文·斯派西在netflix上看《疯子》。,15,data/gold_results/mbart/mbart_gold_50_results.json
mBART,16,244,predicted_zh,安吉莉娜和琼斯今天下午会在城里见面。琼斯会打电话确认他们在哪里见面。,17,data/gold_results/mbart/mbart_gold_50_results.json
mBART,17,285,predicted_zh,"凯西自己剪了指甲,花了4个小时。",10,data/gold_results/mbart/mbart_gold_50_results.json
mBART,18,319,predicted_zh,史蒂夫会给苏打电话。,5,data/gold_results/mbart/mbart_gold_50_results.json
mBART,19,346,predicted_zh,吉玛和她的约会对象是洛娜和米歇尔。吉玛不想被邀请去参加他们的婚礼。,19,data/gold_results/mbart/mbart_gold_50_results.json
mBART,20,355,predicted_zh,安、苏和朱莉今晚要庆祝。,7,data/gold_results/mbart/mbart_gold_50_results.json
mBART,21,367,predicted_zh,妈妈给史蒂夫安装了一台洗碗机。,7,data/gold_results/mbart/mbart_gold_50_results.json
mBART,22,393,predicted_zh,劳拉今天要来。,4,data/gold_results/mbart/mbart_gold_50_results.json
mBART,23,417,predicted_zh,"米兰达和斯蒂芬妮取消了明天的会议,因为她得工作。",13,data/gold_results/mbart/mbart_gold_50_results.json
mBART,24,432,predicted_zh,"朱迪的女朋友在那里纹身,她花了1000 美元。",11,data/gold_results/mbart/mbart_gold_50_results.json
mBART,25,433,predicted_zh,杰西卡、迈克尔和山姆将在8月15日下午两点左右在酒店见面。,16,data/gold_results/mbart/mbart_gold_50_results.json
mBART,26,442,predicted_zh,丹尼尔抢走了特伦斯的钱。丹尼尔把钱忘在别的地方了。,13,data/gold_results/mbart/mbart_gold_50_results.json
mBART,27,499,predicted_zh,查尔斯下午五点半左右会来接娜塔莎。娜塔查会给查尔斯打电话。,12,data/gold_results/mbart/mbart_gold_50_results.json
mBART,28,528,predicted_zh,"安有额外的数学课,所以她7点回家。",9,data/gold_results/mbart/mbart_gold_50_results.json
mBART,29,532,predicted_zh,"皮特想吃酸奶,但珍觉得酸奶有梨味。",7,data/gold_results/mbart/mbart_gold_50_results.json
mBART,30,536,predicted_zh,"聚会结束后,克莉丝蒂和凯蒂都很累。",9,data/gold_results/mbart/mbart_gold_50_results.json
mBART,31,537,predicted_zh,山姆和卡拉明天下午两点在梅恩伍德的咖啡馆见面。,12,data/gold_results/mbart/mbart_gold_50_results.json
mBART,32,544,predicted_zh,乔安娜会给桑迪带一些游戏。,7,data/gold_results/mbart/mbart_gold_50_results.json
mBART,33,548,predicted_zh,"史蒂夫五分钟前买了新《梦剧》专辑。罗伯的桌子上有这张专辑, ready for the first listening。",20,data/gold_results/mbart/mbart_gold_50_results.json
mBART,34,551,predicted_zh,乔伊的美容院是 https:// 。,5,data/gold_results/mbart/mbart_gold_50_results.json
mBART,35,590,predicted_zh,诺亚和阿尔奇将在21点11分去看索尔斯泰菲尔乐队的音乐会。,16,data/gold_results/mbart/mbart_gold_50_results.json
mBART,36,598,predicted_zh,布拉德利给吉尔和茱莉娅发了一张猫入侵古迪森球场的视频。,14,data/gold_results/mbart/mbart_gold_50_results.json
mBART,37,605,predicted_zh,芭芭拉想让肖恩过来过夜。,6,data/gold_results/mbart/mbart_gold_50_results.json
