,reference,prediction,rouge1,rouge2,rougeL,bs_f1_raw
0,汉娜需要贝蒂的电话号码，但阿曼达没有。她得联系拉里。,汉娜不太了解他 阿曼达建议汉娜发短信给他,23.81,15.0,23.81,67.52
1,埃里克和罗伯要在youtube上看一场单口相声。,Eric和Rob正在看一个俄国喜剧演员的脱口秀,28.57,6.06,28.57,63.59
2,莱尼无法决定买哪条裤子。鲍勃就此给莱尼提了些建议。莱尼听了他的建议，选了质量最好的裤子。,Lenny会买两条黑裤子和一条紫色的,18.52,3.85,18.52,58.65
3,艾玛很快就会回家，而且她会告诉威尔。,Emma今晚不想做晚饭 她马上回家 Will会来接她,23.53,6.25,17.65,63.13
4,简在华沙，她和奥利有个聚会。她把重要的日子忘了，本来他们周五会共进午餐。但是奥利无意间给简打了个电话，聊起了威士忌。于是简取消了午餐。下午6点他们见面喝茶。,简从摩洛哥回来了 奥利和简周五下午6点会合吃午餐,34.41,13.19,19.35,68.02
5,希拉里有公寓的钥匙。本杰明想拿到钥匙，去公寓打个盹。希拉里和一些法国人正在la cantina共进午餐。她下午2点会在会议厅门口与他们再碰面。本杰明和埃利奥特可能也会加入。晚上他们会一起喝酒。,"本杰明、埃利奥特和希拉里将与法国人共进午餐,他们于下午2点在La Cantina为墨西哥殖民地食品史工作。 他们将努力避免谈论他们的研究课题。",44.6,27.74,31.65,71.45
6,佩顿给麦克斯提供了卖衣服的网站。他喜欢浏览、试穿衣服，但不一定都会买。他经常买衣服和书，因为他也喜欢阅读。,"Payton喜欢浏览,尝试,看镜子,看她的样子,但不总是买东西。她通常从两三个不同的网站买东西。她喜欢阅读。",38.2,20.69,31.46,74.36
7,丽塔和蒂娜感觉工作很无聊，但离下班还有4个小时。,丽塔在工作上很疲倦 不停地在键盘上睡着 蒂娜也讨厌她的工作,28.57,12.77,24.49,67.39
8,比阿特丽斯想给利奥买条围巾，虽然对方不喜欢围巾。但她关心利奥的健康，不管他怎么想，她都会给他买一条围巾。,Beatrice在城里购物 她会给Leo买条围巾 去年冬天Leo经常感冒,20.0,11.76,20.0,62.26
9,埃里克不知道他的父母是否允许他参加伊万哥哥的婚礼。伊万会和他们谈谈的。,Eric不确定他是否会来参加Ivan哥哥的婚礼 Ivan会照顾Eric的父母,51.72,28.57,44.83,72.82
10,旺达想办个聚会。她问吉娜借她父亲的车，两人一起去买聚会用的东西。他们把聚会的日期定在了周五。,旺达和吉娜周五要开派对 旺达需要列个名单 吉娜会带她父亲的车去杂货店,37.84,19.44,29.73,70.02
11,马丁写了一篇短评，在fb上获得了2张电影票。他想让阿吉这周和他一起去看雷德福的新电影。,"马丁在网上赢得了两张电影票。他将看到与Redford的新电影,直到周末。",51.52,28.12,48.48,78.34
