schema_field,aya32b,gemma27b,qwen27b
final_outcome,"low_final_outcome_examples=11/50, informativeness=2.691, faithfulness=3.023","low_final_outcome_examples=7/50, informativeness=2.537, faithfulness=3.118","low_final_outcome_examples=9/50, informativeness=2.632, faithfulness=3.135"
participants,participant_mismatch_examples=0/50,participant_mismatch_examples=2/50,participant_mismatch_examples=1/50
schema_validity,"parse_error_rate=0.020, parse_errors=1/50","parse_error_rate=0.120, parse_errors=6/50","parse_error_rate=0.000, parse_errors=0/50"
semantic_grounding.action,"action_null_rate=0.356, action_missing_count/example=0.694, action_mismatch_count/example=1.592","action_null_rate=0.000, action_missing_count/example=0.000, action_mismatch_count/example=1.500","action_null_rate=0.000, action_missing_count/example=0.000, action_mismatch_count/example=1.580"
semantic_grounding.actor,"actor_null_rate=0.592, actor_missing_count/example=1.347, actor_mismatch_count/example=0.429","actor_null_rate=0.223, actor_missing_count/example=0.500, actor_mismatch_count/example=0.568","actor_null_rate=0.045, actor_missing_count/example=0.120, actor_mismatch_count/example=0.680"
semantic_grounding.event_coverage,"examples_with_omitted_events=20/50, omitted_events/example=0.580","examples_with_omitted_events=25/50, omitted_events/example=1.060","examples_with_omitted_events=22/50, omitted_events/example=0.660"
semantic_grounding.event_granularity,"event_count_diff_mean=1.939, over_segmented_examples=44/50, under_segmented_examples=0/50, extra_event_rate=0.458","event_count_diff_mean=0.182, over_segmented_examples=15/50, under_segmented_examples=10/50, extra_event_rate=0.249","event_count_diff_mean=0.360, over_segmented_examples=22/50, under_segmented_examples=6/50, extra_event_rate=0.271"
semantic_grounding.evidence,"event_coverage=0.849, weak_match_count/example=0.367","event_coverage=0.677, weak_match_count/example=0.205","event_coverage=0.821, weak_match_count/example=0.320"
semantic_grounding.intended_meaning,"final_outcome_similarity=0.481, event_coverage=0.849","final_outcome_similarity=0.523, event_coverage=0.677","final_outcome_similarity=0.485, event_coverage=0.821"
semantic_grounding.object,"object_null_rate=0.332, object_missing_count/example=0.429, object_mismatch_count/example=0.776","object_null_rate=0.267, object_missing_count/example=0.477, object_mismatch_count/example=0.659","object_null_rate=0.154, object_missing_count/example=0.200, object_mismatch_count/example=0.620"
semantic_grounding.overall,"event_coverage=0.849, extra_event_rate=0.458, event_count_diff_mean=1.939, omitted_events/example=0.580, extra_events/example=2.429","event_coverage=0.677, extra_event_rate=0.249, event_count_diff_mean=0.182, omitted_events/example=1.060, extra_events/example=0.955","event_coverage=0.821, extra_event_rate=0.271, event_count_diff_mean=0.360, omitted_events/example=0.660, extra_events/example=1.020"
semantic_grounding.recipient,"recipient_null_rate=0.240, recipient_missing_count/example=0.102, recipient_mismatch_count/example=0.367","recipient_null_rate=0.257, recipient_missing_count/example=0.068, recipient_mismatch_count/example=0.250","recipient_null_rate=0.315, recipient_missing_count/example=0.020, recipient_mismatch_count/example=0.080"
semantic_grounding.speaker,"speaker_missing_count/example=0.000, speaker_mismatch_count/example=0.122","speaker_missing_count/example=0.000, speaker_mismatch_count/example=0.023","speaker_missing_count/example=0.000, speaker_mismatch_count/example=0.040"
semantic_grounding.speech_act,weak_match_count/example=0.367,weak_match_count/example=0.205,weak_match_count/example=0.320
