model,test_index,id,parse_error,dialogue,reference_english_summary,reference_chinese_summary,model_summary_zh,informativeness,clarity,plausibility,faithfulness,participant_precision,participant_recall,participant_f1,missing_participants,extra_participants,ref_event_count,model_event_count,event_count_diff,event_coverage,extra_event_rate,omitted_ref_event_count,extra_model_event_count,weak_match_count,speech_act_category_accuracy,intended_meaning_similarity,action_similarity,evidence_similarity,final_outcome_similarity,selected_event_count,invalid_selected_event_count,raw_output_excerpt,speaker_slot_accuracy,speaker_missing_count,speaker_mismatch_count,actor_slot_accuracy,actor_missing_count,actor_mismatch_count,action_slot_accuracy,action_missing_count,action_mismatch_count,object_slot_accuracy,object_missing_count,object_mismatch_count,recipient_slot_accuracy,recipient_missing_count,recipient_mismatch_count,speaker_null_rate,speech_act_null_rate,intended_meaning_null_rate,actor_null_rate,action_null_rate,object_null_rate,recipient_null_rate,evidence_null_rate
aya32b,23,gold_00001,False,"Anne: You were right, he was lying to me :/
Irene: Oh no, what happened?
Jane: who? that Mark guy?
Anne: yeah, he told me he's 30, today I saw his passport - he's 40
Irene: You sure it's so important?
Anne: he lied to me Irene",Mark lied to Anne about his age. Mark is 40.,马克向安妮隐瞒了自己的年龄。他40岁了。,安妮发现马克撒了关于年龄的谎，并和艾琳及简讨论了此事。艾琳对谎言的重要性表示怀疑。,2.8547821044921875,3.359606981277466,3.525178909301758,2.705961227416992,1.0,1.0,1.0,,,1,5.0,4.0,1.0,0.8,0,4.0,0.0,0.0,0.6603603603603604,0.11052631578947367,0.2733333333333333,0.5058313632781718,2.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0
aya32b,30,gold_00002,False,"Mary: hey, im kinda broke, lend me a few box
Carter: okay, give me an hour, im at the train station
Mary: cool, thanks",Mary ran out of money. Carter is going to lend her some in an hour.,玛丽的钱用完了，卡特打算一小时后借给她一点。,玛丽请求卡特借钱，卡特同意在一小时后借给她几盒钱。,2.515699863433838,4.594635009765625,4.465599060058594,3.338059425354004,1.0,1.0,1.0,,,2,3.0,1.0,1.0,0.3333333333333333,0,1.0,0.0,0.5,0.6856397361020982,0.3416666666666667,0.9347222222222222,0.7560307017543859,1.0,0.0,,1.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
aya32b,39,gold_00003,False,"Tina: I'll tell you something, this Emirate staff looks amazing, as movie stars
Ala: Oh yes, I know, that's for purpose 
Ala: It's how it's suppose to be
Ala: They pay a lot of attention to the image
Tina: Looks nice, pleasure to observe
Tina: And I sucked at the airport, they've kept us one hour in the plane and finally I'll catch the evening flight back home
Tina: Could You imagine?
Tina: And you know, this way we had such a talkative pilot :-)
Ala: Oh, poor you
Ala: Pfff
Ala: And I'm on my way to a meeting
Tina: THE meeting?
Ala: Yes, keep your finger crossed
Tina: Sure, let me know how did it go
Ala: Ok darling, in touch",Tina will catch the evening flight back home. Ala is on her way to the meeting. She will let Tina know how it went.,蒂娜将乘晚间航班回家。阿拉正在去开会的路上。她会让蒂娜知道事情的进展。,蒂娜抱怨旅行遭遇，阿拉同情并提及即将举行的会议，蒂娜要求告知会议结果。,3.549797534942627,3.640035390853882,3.7603402137756348,3.018245220184326,1.0,1.0,1.0,,,3,6.0,3.0,0.6666666666666666,0.6666666666666666,1,4.0,1.0,0.5,0.4047086720867209,0.3961248428990365,0.3882159142726858,0.29596774193548386,3.0,0.0,,0.5,0.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.6666666666666666,0.0
aya32b,65,gold_00004,False,"Ana: You sleeping?
Catherine: Not yet.
Ana: Wanna go visit grandma tomorrow? I miss her.
Catherine: Yeah that would be nice :) I'll call you when I wake up
Ana: Oki :) sleep well, good night.
Catherine:  Good night, u too.",Ana wants to visit grandma tomorrow. Catherine will go with her. She will call Anna when she wakes up.,安娜明天想去看望奶奶。凯瑟琳会和她一起去。她起床后会给安娜打电话。,安娜和凯瑟琳计划次日拜访祖母，凯瑟琳醒后会给安娜打电话。,1.565260648727417,4.667233943939209,4.555788516998291,3.5922272205352783,1.0,1.0,1.0,,,3,4.0,1.0,0.6666666666666666,0.5,1,2.0,0.0,0.5,0.24521765823371328,0.8138888888888889,0.7549143944197844,0.4951470588235294,1.0,0.0,,1.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.75,0.5,0.5,0.5,0.0
aya32b,66,gold_00005,False,"Joyce: Check this out!
Joyce: <link>
Michael: That's cheap!
Edson: No way! I'm booking my ticket now!! ",Edson is booking his ticket now.,埃德森正在订票。,乔伊斯分享了廉价机票的链接，迈克尔表达了惊讶，艾德森决定立即预订机票。,2.1359148025512695,4.876489162445068,4.861401557922363,4.232075214385986,1.0,1.0,1.0,,,2,3.0,1.0,1.0,0.3333333333333333,0,1.0,0.0,1.0,0.6445301291248207,0.3961220043572985,0.923252688172043,0.49599623174752716,1.0,0.0,,1.0,0.0,0.0,0.5,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0
aya32b,67,gold_00006,False,"Jane: google maps says it is at least 3h <file_other>
Steven: I used to make it in 2, trust me :D
Jane: but it's almost 300km..
Steven: the road is new , we will make it ^^
Jane: I don't want  to stress out , let's meet at 4:30 instead of 5, ok?
Steven: ok, if u reaaly want, we can meet at 4:30
Jane: thx! 
Jane: I will wait at the main entrance or where?
Steven: main entrance is good for me;-) 
Steven: cu",Jane wants to leave at 4.30 instead of 5 because Google Maps suggests the 300 km drive should take them at least 3 hours and she doesn't want to be late. She will wait for Steven at the main entrance.,简想4点半就走，而不是等到5点，因为谷歌地图提示300公里的车程至少需要3小时，她不想迟到。她会在正门处等史蒂文。,简和史蒂文最终决定提前到下午4点30分在入口处见面，以避免长途旅行带来的压力。简最初分享了至少3小时的旅行时间估计，但史蒂文保证他可以更快地完成旅程。在简表达了对长途旅行的担忧后，史蒂文解释说道路是新的，他们应该能准时到达。简于是提议提前见面，得到了史蒂文的同意。,3.384333610534668,3.481323480606079,3.8475375175476074,3.4039525985717773,1.0,1.0,1.0,,,4,6.0,2.0,0.75,0.5,1,3.0,0.0,0.3333333333333333,0.5972174047521861,0.08671023965141611,0.8134160353582841,0.5606884057971016,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
aya32b,78,gold_00007,False,"Fiona: Are you free?
Tina: Yes, what's up?
Fiona: I'm trying to prepare a nice dinner for Chris and I thought that maybe I could prepare this tart of yours :)
Tina: I'm flattered!
Fiona: Well, it IS delicious :) Could help me do it?
Tina: Sure! It's not difficult. Do you have anything ready?
Fiona: I must admit I bought the crust...
Tina: Oh, ok :P Pity, but well, it's too late now.
Fiona: I tried making the filling once, but I finished with lemony scrambled eggs...
Tina: It happens, don't worry. The thing is that once you start adding eggs you can't stop mixing it, otherwise you'll end up with scrambled eggs.",Fiona wants to prepare dinner for Chris. She is thinking of Tina's tart. She will help her make it.,菲奥娜想为克里斯准备晚餐。她想起了蒂娜做的馅饼。蒂娜会帮她做的。,菲奥娜请求蒂娜帮助制作馅饼，蒂娜同意并提供了避免炒鸡蛋的技巧，指导馅料制作。,2.9305167198181152,4.173512935638428,4.320976257324219,3.9554033279418945,1.0,1.0,1.0,,,3,6.0,3.0,0.6666666666666666,0.6666666666666666,1,4.0,0.0,1.0,0.7551891762452108,0.6958333333333333,1.0,0.28283891547049445,2.0,0.0,,1.0,0.0,0.0,0.5,1.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0
aya32b,86,gold_00008,False,"Olafur: are we doing anything for New Year's Eve?
Nathalie: I was thinking about something classy, like opera or sth like that
Zoe: how much does it cost?
Olafur: opera is not for me
Nathalie: so what do you propose?
Nathalie: it's 100$ 
Olafur: I was thinking about partying somewhere
Nathalie: partying sounds fun, as long as it will be classy
Zoe: <file_link>
Zoe: Breakfast at Tiffany's party sounds classy
Olafur: <file_link> 
Olafur: is it classy enough?
Nathalie: :O
Nathalie: this club is AMAZING
Zoe: whoa
Nathalie: we'll going to Soho then
Olafur: we just need to hurry up and buy some tickets soon
Zoe: sure","Nathalie, Olafur and Zoe are planning the New Year's Eve. Nathalie wants something classy. Olafur doesn't like opera. They want to go to the Breakfast at Tiffany's party in Soho.",娜塔莉、奥拉维尔和佐伊正在做新年前夜的计划。娜塔莉想要有格调的。但奥拉维尔不喜欢歌剧。他们想去苏豪区蒂芙尼的聚会上吃早餐。,纳塔莉、奥拉夫尔和佐伊讨论新年夜的活动计划。经过商议，他们决定参加在索霍区举办的早餐在蒂芙尼主题派对。,3.446047306060791,3.6683483123779297,3.822298288345337,3.137519121170044,1.0,1.0,1.0,,,6,6.0,0.0,0.6666666666666666,0.3333333333333333,2,2.0,1.0,0.25,0.4080289474534914,0.07083333333333333,0.7776315789473685,0.3897463866921189,1.0,0.0,,0.75,0.0,1.0,0.25,2.0,1.0,0.0,1.0,3.0,0.75,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.0
aya32b,120,gold_00009,False,"John: wanna go see ""A Star is Born"" on Wed?
Joan: sorry can't
Joan: super busy 
Joan: don't have time for anything :( 
John: that's a shame
Joan: I'm free on Thursday
John: I could do Thursday
Joan: ok! so around 8pm?
John: sure sounds great
John: I'll see where it's palying and send you the details
Joan: ok great!","Joan and John are going to watch ""A Star is Born"" on Thursday around 8 p.m.",琼和约翰星期四晚上8点左右去看《一个明星的诞生》。,约翰和乔安同意一起在周四晚8点观看《一个明星的诞生》，约翰承诺发送电影放映细节。,2.201724052429199,3.096780300140381,3.1064984798431396,2.1465811729431152,1.0,1.0,1.0,,,5,6.0,1.0,1.0,0.16666666666666666,0,1.0,1.0,1.0,0.206778242141044,0.14030701754385963,0.8855454545454545,0.639116887741476,3.0,0.0,,1.0,0.0,0.0,0.6,0.0,2.0,0.0,0.0,5.0,0.4,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aya32b,137,gold_00010,False,"Peyton: I have been asking you to bring that video game for me
Cameron: Honey, I am not having enough time to come home
Peyton: When would you come home?
Cameron: I will have to stay out of town for another week i guess
Peyton: Cant you just deliver that game through the courier? :P
Cameron: Dont be mean :/
Peyton: Get the job done and come to home then. ASAP :P",Peyton is expecting Cameron to bring the video game. Cameron will probably be out for another week.,佩顿希望卡梅隆能带游戏机过来，但是卡梅隆可能还要再缺席一周。,佩顿要求卡梅伦带一个视频游戏。卡梅伦拒绝，解释说没有足够的时间。佩顿询问何时能回家，卡梅伦回答将出差另一周。佩顿建议通过快递送游戏，并坚持卡梅伦立即回家。,3.2962162494659424,4.036873817443848,4.174149036407471,3.9066426753997803,1.0,1.0,1.0,,,3,6.0,3.0,1.0,0.5,0,3.0,0.0,0.6666666666666666,0.40224747474747474,0.4961111111111111,0.6872548826309518,0.4589330024813896,1.0,0.0,,1.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.16666666666666666,0.0
