model,metric,score,spearman_corr
aya32b,participant_f1,informativeness,
aya32b,participant_f1,clarity,
aya32b,participant_f1,plausibility,
aya32b,participant_f1,faithfulness,
aya32b,event_coverage,informativeness,0.008874465140656746
aya32b,event_coverage,clarity,-0.006902361776066359
aya32b,event_coverage,plausibility,-0.08706256324265214
aya32b,event_coverage,faithfulness,-0.14668968850144387
aya32b,extra_event_rate,informativeness,0.2994038239354795
aya32b,extra_event_rate,clarity,-0.14750809469535836
aya32b,extra_event_rate,plausibility,-0.11230255084809507
aya32b,extra_event_rate,faithfulness,0.11334722573970525
aya32b,event_count_diff,informativeness,0.4854306433997938
aya32b,event_count_diff,clarity,-0.09873344606891608
aya32b,event_count_diff,plausibility,-0.10052859963380546
aya32b,event_count_diff,faithfulness,0.12312641509770711
aya32b,omitted_ref_event_count,informativeness,0.009378399312711066
aya32b,omitted_ref_event_count,clarity,-0.03341054755153317
aya32b,omitted_ref_event_count,plausibility,0.05890807068296638
aya32b,omitted_ref_event_count,faithfulness,0.11635076647332165
aya32b,extra_model_event_count,informativeness,0.4751916350832784
aya32b,extra_model_event_count,clarity,-0.13976536809364076
aya32b,extra_model_event_count,plausibility,-0.08041949588373176
aya32b,extra_model_event_count,faithfulness,0.16131673134697086
aya32b,speech_act_category_accuracy,informativeness,-0.30032090010536133
aya32b,speech_act_category_accuracy,clarity,0.23632581825044927
aya32b,speech_act_category_accuracy,plausibility,0.15037009815048547
aya32b,speech_act_category_accuracy,faithfulness,-0.02887902547260979
aya32b,intended_meaning_similarity,informativeness,0.09071428571428572
aya32b,intended_meaning_similarity,clarity,0.126734693877551
aya32b,intended_meaning_similarity,plausibility,0.20244897959183675
aya32b,intended_meaning_similarity,faithfulness,0.19040816326530613
aya32b,action_similarity,informativeness,-0.09880576149677316
aya32b,action_similarity,clarity,0.3000408428923189
aya32b,action_similarity,plausibility,0.258293367218579
aya32b,action_similarity,faithfulness,0.16428499290191775
