id,test_index,dialogue,translated_dialogue,final_summary,reference_english_summary,reference_chinese_summary,pipeline,translation_model,summarization_model,num_model_calls
gold_00001,23,"Anne: You were right, he was lying to me :/
Irene: Oh no, what happened?
Jane: who? that Mark guy?
Anne: yeah, he told me he's 30, today I saw his passport - he's 40
Irene: You sure it's so important?
Anne: he lied to me Irene","安妮：你说的对，他骗了我：/
艾琳：哦不，发生了什么？
简：谁？那马克家伙？
安妮：是的，他告诉我他30岁，今天我看了他的护照——他40岁。
艾琳：你确定这很重要吗？
安妮：他骗了我，艾琳。",安妮发现马克撒谎了，他实际比他说的年龄大10岁。,Mark lied to Anne about his age. Mark is 40.,马克向安妮隐瞒了自己的年龄。他40岁了。,translate_then_summarize,aya-expanse:32b,aya-expanse:32b,2
gold_00002,30,"Mary: hey, im kinda broke, lend me a few box
Carter: okay, give me an hour, im at the train station
Mary: cool, thanks","玛丽：嘿，我有点没钱了，借我几盒好吗？
卡特：好的，给我一个小时，我在火车站。
玛丽：好，谢谢。",玛丽向卡特借钱，卡特答应了，一小时后会在火车站见面。,Mary ran out of money. Carter is going to lend her some in an hour.,玛丽的钱用完了，卡特打算一小时后借给她一点。,translate_then_summarize,aya-expanse:32b,aya-expanse:32b,2
gold_00003,39,"Tina: I'll tell you something, this Emirate staff looks amazing, as movie stars
Ala: Oh yes, I know, that's for purpose 
Ala: It's how it's suppose to be
Ala: They pay a lot of attention to the image
Tina: Looks nice, pleasure to observe
Tina: And I sucked at the airport, they've kept us one hour in the plane and finally I'll catch the evening flight back home
Tina: Could You imagine?
Tina: And you know, this way we had such a talkative pilot :-)
Ala: Oh, poor you
Ala: Pfff
Ala: And I'm on my way to a meeting
Tina: THE meeting?
Ala: Yes, keep your finger crossed
Tina: Sure, let me know how did it go
Ala: Ok darling, in touch","蒂娜：我要告诉你一件事，这个阿联酋航空的空乘人员看起来像电影明星一样。
阿拉：哦，是的，我知道，这是为了工作需要。
阿拉：这就是他们应该有的样子。
阿拉：他们非常注重形象。
蒂娜：看上去很漂亮，让人很享受观察。
蒂娜：而在机场我过得很糟糕，他们在飞机上让我们等了一个小时，最后我只能赶晚上回家的航班。
蒂娜：你能想象吗？
蒂娜：而且你知道的，这样我们就有了这么一个健谈的飞行员。😉
阿拉：哦，可怜的你。
阿拉：唉。
阿拉：我正在去开会的路上。
蒂娜：那个重要的会议吗？
阿拉：是的，请为我祈祷。
蒂娜：好的，一定要告诉我结果怎么样。
阿拉：好的，亲爱的，我们保持联系。",蒂娜向阿拉诉说在机场的不愉快经历，包括空乘人员的外表和等待时间。阿拉安慰她，并提及自己正前往重要会议。两人约定保持联系。,Tina will catch the evening flight back home. Ala is on her way to the meeting. She will let Tina know how it went.,蒂娜将乘晚间航班回家。阿拉正在去开会的路上。她会让蒂娜知道事情的进展。,translate_then_summarize,aya-expanse:32b,aya-expanse:32b,2
gold_00004,65,"Ana: You sleeping?
Catherine: Not yet.
Ana: Wanna go visit grandma tomorrow? I miss her.
Catherine: Yeah that would be nice :) I'll call you when I wake up
Ana: Oki :) sleep well, good night.
Catherine:  Good night, u too.","安娜：你睡着了吗？
凯瑟琳：还没有。
安娜：明天想去看外婆吗？我想她了。
凯瑟琳：是啊，那会很好的 :) 我起床时给你打电话。
安娜：好吧 :) 睡个好觉，晚安。
凯瑟琳：晚安，你也一样。",安娜和凯瑟琳讨论明天去看外婆，凯瑟琳同意了，并约定起床后打电话给安娜。她们互道晚安。,Ana wants to visit grandma tomorrow. Catherine will go with her. She will call Anna when she wakes up.,安娜明天想去看望奶奶。凯瑟琳会和她一起去。她起床后会给安娜打电话。,translate_then_summarize,aya-expanse:32b,aya-expanse:32b,2
gold_00005,66,"Joyce: Check this out!
Joyce: <link>
Michael: That's cheap!
Edson: No way! I'm booking my ticket now!! ","乔伊斯：看看这个！
乔伊斯：<链接>
迈克尔：好便宜啊！
埃德森：不信！我现在就订票去！",乔伊斯分享了一个便宜的票务链接，迈克尔和埃德森表示感兴趣，埃德森立即订票。,Edson is booking his ticket now.,埃德森正在订票。,translate_then_summarize,aya-expanse:32b,aya-expanse:32b,2
gold_00006,67,"Jane: google maps says it is at least 3h <file_other>
Steven: I used to make it in 2, trust me :D
Jane: but it's almost 300km..
Steven: the road is new , we will make it ^^
Jane: I don't want  to stress out , let's meet at 4:30 instead of 5, ok?
Steven: ok, if u reaaly want, we can meet at 4:30
Jane: thx! 
Jane: I will wait at the main entrance or where?
Steven: main entrance is good for me;-) 
Steven: cu","简：谷歌地图显示至少需要3小时<文件_其他>
史蒂文：我以前开车2小时就到了，相信我😄
简：但是距离差不多300公里呢...
史蒂文：路是新的，我们一定会准时到的^^
简：我不想太紧张，我们4点半见面吧，5点太晚了。
史蒂文：好吧，如果你真的想，我们可以4点半见。
简：谢谢！
简：我在正门等吗？
史蒂文：正门对我来说很方便；-)
史蒂文：再见~",简和史蒂文讨论了前往目的地的时间和路线。简担心需要3小时，但史蒂文坚持2小时足够，并保证会准时到达。他们最终约定4点半见面，在正门等待。,Jane wants to leave at 4.30 instead of 5 because Google Maps suggests the 300 km drive should take them at least 3 hours and she doesn't want to be late. She will wait for Steven at the main entrance.,简想4点半就走，而不是等到5点，因为谷歌地图提示300公里的车程至少需要3小时，她不想迟到。她会在正门处等史蒂文。,translate_then_summarize,aya-expanse:32b,aya-expanse:32b,2
gold_00007,78,"Fiona: Are you free?
Tina: Yes, what's up?
Fiona: I'm trying to prepare a nice dinner for Chris and I thought that maybe I could prepare this tart of yours :)
Tina: I'm flattered!
Fiona: Well, it IS delicious :) Could help me do it?
Tina: Sure! It's not difficult. Do you have anything ready?
Fiona: I must admit I bought the crust...
Tina: Oh, ok :P Pity, but well, it's too late now.
Fiona: I tried making the filling once, but I finished with lemony scrambled eggs...
Tina: It happens, don't worry. The thing is that once you start adding eggs you can't stop mixing it, otherwise you'll end up with scrambled eggs.","菲奥娜：你有空吗？
蒂娜：有啊，怎么了？
菲奥娜：我想为克里斯准备一顿美味的晚餐，想着或许我可以做你那道塔特（馅饼）呢 :)
蒂娜：太荣幸了！
菲奥娜：是啊，这道菜确实很美味 :) 你能帮我做吗？
蒂娜：当然可以！这道菜不难。你准备好了什么吗？
菲奥娜：我必须承认，我买了饼皮...
蒂娜：哦，也行：P 有点可惜，不过现在太迟了。
菲奥娜：我曾经尝试做过馅料，但最后变成了柠檬炒蛋...
蒂娜：这种事经常发生，别担心。问题是，一旦你开始加鸡蛋，就不能停下搅拌，不然就会变成炒蛋。",菲奥娜想做塔特馅饼给克里斯，向蒂娜求助。蒂娜同意帮忙，并解释了制作过程，提到加入鸡蛋需不断搅拌以免成炒蛋。,Fiona wants to prepare dinner for Chris. She is thinking of Tina's tart. She will help her make it.,菲奥娜想为克里斯准备晚餐。她想起了蒂娜做的馅饼。蒂娜会帮她做的。,translate_then_summarize,aya-expanse:32b,aya-expanse:32b,2
gold_00008,86,"Olafur: are we doing anything for New Year's Eve?
Nathalie: I was thinking about something classy, like opera or sth like that
Zoe: how much does it cost?
Olafur: opera is not for me
Nathalie: so what do you propose?
Nathalie: it's 100$ 
Olafur: I was thinking about partying somewhere
Nathalie: partying sounds fun, as long as it will be classy
Zoe: <file_link>
Zoe: Breakfast at Tiffany's party sounds classy
Olafur: <file_link> 
Olafur: is it classy enough?
Nathalie: :O
Nathalie: this club is AMAZING
Zoe: whoa
Nathalie: we'll going to Soho then
Olafur: we just need to hurry up and buy some tickets soon
Zoe: sure","奥拉弗：我们春节有什么安排吗？
娜塔莉：我在想一些高雅的活动，比如歌剧之类的。
佐伊：要花多少钱？
奥拉弗：歌剧不是我的菜。
娜塔莉：那你有什么建议？
娜塔莉：这张票100美元。
奥拉弗：我在想去哪里狂欢。
娜塔莉：狂欢听起来很有趣，只要是高雅的就行。
佐伊：<文件链接>
佐伊：蒂芙尼早餐派对听起来很高雅。
奥拉弗：<文件链接>
奥拉弗：这样够高雅吗？
娜塔莉：：O
娜塔莉：这家俱乐部太棒了！
佐伊：哇！
娜塔莉：我们去苏荷区吧。
奥拉弗：我们得赶紧买票。
佐伊：好啊。",奥拉弗询问春节安排，娜塔莉提议高雅活动，如歌剧。后经讨论，三人决定参加蒂芙尼早餐派对，并计划尽快购买门票，地点在苏荷区。,"Nathalie, Olafur and Zoe are planning the New Year's Eve. Nathalie wants something classy. Olafur doesn't like opera. They want to go to the Breakfast at Tiffany's party in Soho.",娜塔莉、奥拉维尔和佐伊正在做新年前夜的计划。娜塔莉想要有格调的。但奥拉维尔不喜欢歌剧。他们想去苏豪区蒂芙尼的聚会上吃早餐。,translate_then_summarize,aya-expanse:32b,aya-expanse:32b,2
gold_00009,120,"John: wanna go see ""A Star is Born"" on Wed?
Joan: sorry can't
Joan: super busy 
Joan: don't have time for anything :( 
John: that's a shame
Joan: I'm free on Thursday
John: I could do Thursday
Joan: ok! so around 8pm?
John: sure sounds great
John: I'll see where it's palying and send you the details
Joan: ok great!","约翰：想周三去看《一个明星的诞生》吗？
乔安：抱歉，不能。
乔安：非常忙。
乔安：什么都没时间。
约翰：真遗憾。
乔安：我周四有空。
约翰：我也可以周四。
乔安：好！那晚上八点左右？
约翰：当然，听起来很棒。
约翰：我会看看在哪里放映，然后给你发详情。
乔安：好，太好了！",约翰邀请乔安周三看电影《一个明星的诞生》，但乔安因忙无法前往。两人商定周四晚上八点左右一起看，约翰会告知具体地点。,"Joan and John are going to watch ""A Star is Born"" on Thursday around 8 p.m.",琼和约翰星期四晚上8点左右去看《一个明星的诞生》。,translate_then_summarize,aya-expanse:32b,aya-expanse:32b,2
gold_00010,137,"Peyton: I have been asking you to bring that video game for me
Cameron: Honey, I am not having enough time to come home
Peyton: When would you come home?
Cameron: I will have to stay out of town for another week i guess
Peyton: Cant you just deliver that game through the courier? :P
Cameron: Dont be mean :/
Peyton: Get the job done and come to home then. ASAP :P","佩顿：我一直让你给我带那个电子游戏。
卡梅伦：亲爱的，我没有足够的时间回家。
佩顿：你什么时候能回家？
卡梅伦：我想我还要再出差一周。
佩顿：你不能通过快递把游戏送到吗？：P
卡梅伦：别这么刻薄：/
佩顿：把工作完成然后尽快回家吧。：P",佩顿让卡梅伦带电子游戏，但卡梅伦因出差无暇。佩顿建议快递，卡梅伦表示工作繁忙。佩顿催促他尽快回家。,Peyton is expecting Cameron to bring the video game. Cameron will probably be out for another week.,佩顿希望卡梅隆能带游戏机过来，但是卡梅隆可能还要再缺席一周。,translate_then_summarize,aya-expanse:32b,aya-expanse:32b,2
