id,test_index,dialogue,translated_dialogue,final_summary,reference_english_summary,reference_chinese_summary,pipeline,translation_model,summarization_model,num_model_calls
gold_00001,23,"Anne: You were right, he was lying to me :/
Irene: Oh no, what happened?
Jane: who? that Mark guy?
Anne: yeah, he told me he's 30, today I saw his passport - he's 40
Irene: You sure it's so important?
Anne: he lied to me Irene","安妮：你是对的，他对我撒谎了 :/
艾琳：哦不，发生什么事了？
简：谁？那个马克吗？
安妮：是的，他告诉我他三十岁，今天我看到了他的护照——他四十岁。
艾琳：你确定这很重要吗？
安妮：他对我撒谎了，艾琳。",安妮发现马克在年龄上对她撒谎，他自称三十岁，但护照显示实际为四十岁。尽管艾琳质疑此事的重要性，安妮仍坚持认为被欺骗很严重。,Mark lied to Anne about his age. Mark is 40.,马克向安妮隐瞒了自己的年龄。他40岁了。,translate_then_summarize,qwen3.5:27b,qwen3.5:27b,2
gold_00002,30,"Mary: hey, im kinda broke, lend me a few box
Carter: okay, give me an hour, im at the train station
Mary: cool, thanks","玛丽：嘿，我手头有点紧，借我几盒吧。
卡特：好的，给我一小时，我在火车站。
玛丽：太好了，谢谢。",玛丽因手头紧向卡特借几盒，卡特答应一小时后在火车站交付，玛丽表示感谢。,Mary ran out of money. Carter is going to lend her some in an hour.,玛丽的钱用完了，卡特打算一小时后借给她一点。,translate_then_summarize,qwen3.5:27b,qwen3.5:27b,2
gold_00003,39,"Tina: I'll tell you something, this Emirate staff looks amazing, as movie stars
Ala: Oh yes, I know, that's for purpose 
Ala: It's how it's suppose to be
Ala: They pay a lot of attention to the image
Tina: Looks nice, pleasure to observe
Tina: And I sucked at the airport, they've kept us one hour in the plane and finally I'll catch the evening flight back home
Tina: Could You imagine?
Tina: And you know, this way we had such a talkative pilot :-)
Ala: Oh, poor you
Ala: Pfff
Ala: And I'm on my way to a meeting
Tina: THE meeting?
Ala: Yes, keep your finger crossed
Tina: Sure, let me know how did it go
Ala: Ok darling, in touch","蒂娜：我告诉你，这家阿联酋航空的机组人员看起来太棒了，就像电影明星一样。
阿拉：哦，是的，我知道，这是有目的的。
阿拉：本来就应该这样。
阿拉：他们非常注重形象。
蒂娜：看起来不错，看着真让人愉悦。
蒂娜：我在机场可倒霉了，他们在飞机上把我们滞留了一个小时，最后我才赶上回家的晚班航班。
蒂娜：你能想象吗？
蒂娜：而且你知道吗，这次我们遇到了一位特别健谈的飞行员 :-)
阿拉：哦，可怜的你。
阿拉：哼。
阿拉：我现在正要去开会。
蒂娜：就是那个会议吗？
阿拉：是的，祝你好运。
蒂娜：当然，告诉我结果如何。
阿拉：好的，亲爱的，保持联系。",蒂娜称赞阿联酋航空机组形象，但抱怨机场滞留及航班延误。阿拉表示同情，随后告知要去开会，两人约定保持联系。,Tina will catch the evening flight back home. Ala is on her way to the meeting. She will let Tina know how it went.,蒂娜将乘晚间航班回家。阿拉正在去开会的路上。她会让蒂娜知道事情的进展。,translate_then_summarize,qwen3.5:27b,qwen3.5:27b,2
gold_00004,65,"Ana: You sleeping?
Catherine: Not yet.
Ana: Wanna go visit grandma tomorrow? I miss her.
Catherine: Yeah that would be nice :) I'll call you when I wake up
Ana: Oki :) sleep well, good night.
Catherine:  Good night, u too.","安娜：你睡着了吗？
凯瑟琳：还没。
安娜：明天想去探望奶奶吗？我想她了。
凯瑟琳：好啊，那太好了 :) 我醒来后给你打电话。
安娜：好的 :) 睡个好觉，晚安。
凯瑟琳：晚安，你也是。",安娜提议明天探望奶奶，凯瑟琳欣然同意，并约定醒来后联系，随后两人互道晚安。,Ana wants to visit grandma tomorrow. Catherine will go with her. She will call Anna when she wakes up.,安娜明天想去看望奶奶。凯瑟琳会和她一起去。她起床后会给安娜打电话。,translate_then_summarize,qwen3.5:27b,qwen3.5:27b,2
gold_00005,66,"Joyce: Check this out!
Joyce: <link>
Michael: That's cheap!
Edson: No way! I'm booking my ticket now!! ","乔伊斯：快看看这个！
乔伊斯：<link>
迈克尔：太便宜了！
埃德森：不可能！我现在就订票！！",乔伊斯分享了一个链接，迈克尔感叹价格太便宜，埃德森则决定立即订票。,Edson is booking his ticket now.,埃德森正在订票。,translate_then_summarize,qwen3.5:27b,qwen3.5:27b,2
gold_00006,67,"Jane: google maps says it is at least 3h <file_other>
Steven: I used to make it in 2, trust me :D
Jane: but it's almost 300km..
Steven: the road is new , we will make it ^^
Jane: I don't want  to stress out , let's meet at 4:30 instead of 5, ok?
Steven: ok, if u reaaly want, we can meet at 4:30
Jane: thx! 
Jane: I will wait at the main entrance or where?
Steven: main entrance is good for me;-) 
Steven: cu","简：谷歌地图显示至少需要 3 小时 <file_other>
史蒂文：我以前 2 小时就到了，相信我 :D
简：但路程快有 300 公里了……
史蒂文：路是新修的，我们肯定能赶上 ^^
简：我不想太紧张，我们改成 4 点半见面，5 点太晚了，好吗？
史蒂文：好吧，如果你真的这么想，我们可以 4 点半见。
简：谢谢！
简：我在主入口等，还是别的地方？
史蒂文：主入口对我来说很好;-)
史蒂文：回头见",简提议将见面时间改为 4 点半，史蒂文同意。两人确认将在主入口见面。,Jane wants to leave at 4.30 instead of 5 because Google Maps suggests the 300 km drive should take them at least 3 hours and she doesn't want to be late. She will wait for Steven at the main entrance.,简想4点半就走，而不是等到5点，因为谷歌地图提示300公里的车程至少需要3小时，她不想迟到。她会在正门处等史蒂文。,translate_then_summarize,qwen3.5:27b,qwen3.5:27b,2
gold_00007,78,"Fiona: Are you free?
Tina: Yes, what's up?
Fiona: I'm trying to prepare a nice dinner for Chris and I thought that maybe I could prepare this tart of yours :)
Tina: I'm flattered!
Fiona: Well, it IS delicious :) Could help me do it?
Tina: Sure! It's not difficult. Do you have anything ready?
Fiona: I must admit I bought the crust...
Tina: Oh, ok :P Pity, but well, it's too late now.
Fiona: I tried making the filling once, but I finished with lemony scrambled eggs...
Tina: It happens, don't worry. The thing is that once you start adding eggs you can't stop mixing it, otherwise you'll end up with scrambled eggs.","菲奥娜：你有空吗？
蒂娜：有空，怎么了？
菲奥娜：我正在为克里斯准备一顿丰盛的晚餐，我在想也许可以试试你做的这个挞 :)
蒂娜：我很荣幸！
菲奥娜：嗯，它确实很好吃 :) 能帮我一起做吗？
蒂娜：当然！这并不难。你准备好什么了吗？
菲奥娜：我得承认，我已经买了挞皮……
蒂娜：哦，好吧 :P 有点可惜，不过现在说这些也晚了。
菲奥娜：我试过做一次馅料，结果做成了柠檬炒蛋……
蒂娜：这种事常发生，别担心。关键在于，一旦开始加鸡蛋，就不能停止搅拌，否则最后就会变成炒蛋。",菲奥娜邀请蒂娜帮忙为克里斯做挞。菲奥娜已买好挞皮，但馅料做成了柠檬炒蛋。蒂娜安慰她，并指出加鸡蛋时需不停搅拌才能避免失败。,Fiona wants to prepare dinner for Chris. She is thinking of Tina's tart. She will help her make it.,菲奥娜想为克里斯准备晚餐。她想起了蒂娜做的馅饼。蒂娜会帮她做的。,translate_then_summarize,qwen3.5:27b,qwen3.5:27b,2
gold_00008,86,"Olafur: are we doing anything for New Year's Eve?
Nathalie: I was thinking about something classy, like opera or sth like that
Zoe: how much does it cost?
Olafur: opera is not for me
Nathalie: so what do you propose?
Nathalie: it's 100$ 
Olafur: I was thinking about partying somewhere
Nathalie: partying sounds fun, as long as it will be classy
Zoe: <file_link>
Zoe: Breakfast at Tiffany's party sounds classy
Olafur: <file_link> 
Olafur: is it classy enough?
Nathalie: :O
Nathalie: this club is AMAZING
Zoe: whoa
Nathalie: we'll going to Soho then
Olafur: we just need to hurry up and buy some tickets soon
Zoe: sure","奥拉夫：我们除夕夜有什么安排吗？
娜塔莉：我在想一些高雅的活动，比如歌剧之类的。
佐伊：要花多少钱？
奥拉夫：歌剧不适合我。
娜塔莉：那你有什么建议？
娜塔莉：票价是一百美元。
奥拉夫：我在想找个地方去派对狂欢。
娜塔莉：派对听起来很有趣，只要够高雅就行。
佐伊：<file_link>
佐伊：《蒂凡尼的早餐》主题派对听起来很高雅。
奥拉夫：<file_link>
奥拉夫：这够高雅吗？
娜塔莉：:O
娜塔莉：这家俱乐部太棒了！
佐伊：哇。
娜塔莉：那我们就去苏荷区吧。
奥拉夫：我们得赶紧去买票了。
佐伊：没问题。",三人讨论除夕安排，娜塔莉提议高雅活动，奥拉夫建议派对。最终他们选定苏荷区一家俱乐部，并决定立即购票。,"Nathalie, Olafur and Zoe are planning the New Year's Eve. Nathalie wants something classy. Olafur doesn't like opera. They want to go to the Breakfast at Tiffany's party in Soho.",娜塔莉、奥拉维尔和佐伊正在做新年前夜的计划。娜塔莉想要有格调的。但奥拉维尔不喜欢歌剧。他们想去苏豪区蒂芙尼的聚会上吃早餐。,translate_then_summarize,qwen3.5:27b,qwen3.5:27b,2
gold_00009,120,"John: wanna go see ""A Star is Born"" on Wed?
Joan: sorry can't
Joan: super busy 
Joan: don't have time for anything :( 
John: that's a shame
Joan: I'm free on Thursday
John: I could do Thursday
Joan: ok! so around 8pm?
John: sure sounds great
John: I'll see where it's palying and send you the details
Joan: ok great!","约翰：周三想看《一个明星的诞生》吗？
琼：抱歉，不行。
琼：超级忙。
琼：没时间做任何事 :(
约翰：真遗憾。
琼：我周四有空。
约翰：我周四也可以。
琼：好的！那大概晚上八点？
约翰：当然，听起来很棒。
约翰：我会查一下在哪里上映，然后把详情发给你。
琼：好的，太好了！",约翰邀请琼周三看电影被拒，因琼太忙。两人最终约定周四晚八点观看《一个明星的诞生》，约翰将查询上映信息并发给琼。,"Joan and John are going to watch ""A Star is Born"" on Thursday around 8 p.m.",琼和约翰星期四晚上8点左右去看《一个明星的诞生》。,translate_then_summarize,qwen3.5:27b,qwen3.5:27b,2
gold_00010,137,"Peyton: I have been asking you to bring that video game for me
Cameron: Honey, I am not having enough time to come home
Peyton: When would you come home?
Cameron: I will have to stay out of town for another week i guess
Peyton: Cant you just deliver that game through the courier? :P
Cameron: Dont be mean :/
Peyton: Get the job done and come to home then. ASAP :P","佩顿：我一直让你帮我带那个电子游戏。
卡梅伦：亲爱的，我实在没有足够的时间回家。
佩顿：那你什么时候能回家？
卡梅伦：我想我大概还得在外地待上一周。
佩顿：难道不能通过快递把游戏寄过来吗？:P
卡梅伦：别这么刻薄嘛。:/
佩顿：先把事情办好，然后尽快回家。越快越好。:P",佩顿催促卡梅伦带游戏回家，卡梅伦因在外地需停留一周无法带回。佩顿建议快递，卡梅伦抱怨其刻薄，佩顿要求其尽快处理事务并回家。,Peyton is expecting Cameron to bring the video game. Cameron will probably be out for another week.,佩顿希望卡梅隆能带游戏机过来，但是卡梅隆可能还要再缺席一周。,translate_then_summarize,qwen3.5:27b,qwen3.5:27b,2
gold_00011,139,"Paul: I just came back home
Paul: What a busy day
Paul: I forgot about my physiotherapy 
Emma: Oh no
Paul: It's ok, I'll schedule a new appointment
Emma: I'll be home after midnight
Paul: Do you want me to prepare some food for you?
Emma: That would be lovely","保罗：我刚回到家。
保罗：真是忙碌的一天。
保罗：我忘了我的物理治疗。
艾玛：哦，不。
保罗：没关系，我会预约一个新的时间。
艾玛：我半夜之后才能到家。
保罗：你想让我为你准备一些食物吗？
艾玛：那真是太好了。",保罗忙完回家，因错过理疗将改约。艾玛深夜才归，保罗主动提出为她备餐，艾玛欣然接受。,"Paul forgot about his physiotherapy and he will schedule a new appointment. Emma will be home after midnight, so Paul will prepare some food for her.",保罗忘记去做理疗了，得重新预约。艾玛午夜后回家，所以保罗会给她准备一些吃的。,translate_then_summarize,qwen3.5:27b,qwen3.5:27b,2
gold_00012,192,"Harris: How are U?
Lena: Fine, U?
Harris: Been better.
Lena: ?
Harris: My friend Aoki died yesterday.
Lena: O No!
Harris: Yeah.
Lena: What happened?
Harris: Not sure yet. Thinking the worst...
Lena: O how awful!
Harris: Yes.
Lena: You just never know.
Harris: True.
Lena: Had you seen her lately?
Harris: Not for a few months. She lives in Michigan.
Lena: Oh, that's far.
Harris: Not too far but far enough.
Lena: Right.
Harris: Got to go, mom's calling.
Lena: K bi. Feel better!
Harris: K will do","哈里斯：你好吗？
莱娜：还好，你呢？
哈里斯：不太行。
莱娜：怎么了？
哈里斯：我的朋友青木昨天去世了。
莱娜：哦，天哪！
哈里斯：是啊。
莱娜：发生什么事了？
哈里斯：还不太清楚。心里正往最坏处想……
莱娜：哦，太可怕了！
哈里斯：是啊。
莱娜：你永远不知道会发生什么。
哈里斯：没错。
莱娜：你最近见过她吗？
哈里斯：好几个月没见了。她住在密歇根州。
莱娜：哦，那很远啊。
哈里斯：不算太远，但也够远了。
莱娜：也是。
哈里斯：我得走了，我妈在叫我。
莱娜：好的，拜拜。保重！
哈里斯：好的，我会的。",哈里斯告知莱娜，其好友青木昨日去世，死因尚不明。两人谈及青木住在密歇根州，哈里斯已数月未见。随后哈里斯因母亲呼唤而告别。,"Harris' friend, Aoki, who lives in Michigan, died yesterday. Harris hasn't seen her for a few months.",哈里斯的朋友青木住在密歇根州，昨天去世了。哈里斯有几个月没见她了。,translate_then_summarize,qwen3.5:27b,qwen3.5:27b,2
gold_00013,210,"Yaz: Going to slimming club tonight?
Mary: Well, I don't want to, but I really should. I've been so bad, though!
Yaz: Me too, choccies, wine, cake, you name it!
Mary: Well, we should bite the bullet. She'll tell us off, I expect. Feels like being back at school!
Yaz: Well, she IS our old cookery teacher! See you at 6ish, pick you up!?
Mary: Yep! See you then!","雅兹：今晚要去减肥俱乐部吗？
玛丽：嗯，我其实不想去，但确实应该去。不过我最近实在太放纵了！
雅兹：我也是，巧克力、葡萄酒、蛋糕，你随便说！
玛丽：好吧，我们得硬着头皮去了。她肯定会训斥我们的，我敢肯定。感觉就像又回到了学校！
雅兹：毕竟她确实是我们以前的烹饪老师！大概六点左右见，我去接你？
玛丽：好的！到时候见！",雅兹和玛丽虽因近期饮食放纵而不愿去减肥俱乐部，但决定硬着头皮参加。两人约定六点在玛丽家见面，由雅兹接她一同前往。,Yaz and Mary are meeting tonight around 6 and going for the slimming club together. They expect to be scolded for eating too much. ,亚兹和玛丽今晚6点左右见面，一起去减肥俱乐部。他们估计吃得太多会被骂。,translate_then_summarize,qwen3.5:27b,qwen3.5:27b,2
gold_00014,211,"Ellie: hey, are you at the university?
Aaliyah: yep
Camille: I'm sick :/
Ellie: shiet....that's bad
Ellie: Aali, where are we having our classes now?
Aaliyah: 342 on the second floor","艾莉：嘿，你在大学吗？
阿莉亚：是的
卡米尔：我生病了 :/
艾莉：天哪……这太糟糕了
艾莉：阿莉，我们现在在哪里上课？
阿莉亚：二楼的 342 教室",艾莉询问大家是否在大学，阿莉亚确认，卡米尔表示生病。艾莉随后向阿莉亚确认上课地点，得知在二楼 342 教室。,Ellie's class is in 342 on the second floor.,艾莉的班级在二楼342教室。,translate_then_summarize,qwen3.5:27b,qwen3.5:27b,2
gold_00015,212,"Nathan: <file_video>
Aaron: OMG!!! 
Aaron: 😂😂😂😂
Aaron: looool
Aaron: do you know her mate? 🤣🤣
Aaron: my cat's face looks like that when he's taking a dump..🤣🤣🤣
Aaron: <file_gif>
Aaron: the angels must be weeping 🤭🤭🤭 
Aaron: <file_gif>
Aaron: <file_gif>
Nathan: Hahahaha
Nathan: She's having a spiritual moment 😉
Nathan: No clue mate, Dan sent it over
Nathan: A tragedy to say the least 😂😂
Aaron: <file_gif>
Aaron: looking for Jesus
Nathan: 😂😂😂
Aaron: hilarious..hahahaha","内森：<file_video>
亚伦：天哪！！！
亚伦：😂😂😂😂
亚伦：笑死我了
亚伦：伙计，你认识她吗？🤣🤣
亚伦：我家猫拉屎时的表情就跟这个一模一样..🤣🤣🤣
亚伦：<file_gif>
亚伦：天使们一定在哭泣 🤭🤭🤭
亚伦：<file_gif>
亚伦：<file_gif>
内森：哈哈哈哈
内森：她正在经历一个精神时刻 😉
内森：完全不知道，是丹发过来的
内森：至少可以说是一场悲剧 😂😂
亚伦：<file_gif>
亚伦：在寻找耶稣
内森：😂😂😂
亚伦：太搞笑了..哈哈哈哈",内森分享了一段搞笑视频，亚伦大笑并调侃视频人物表情像自家猫拉屎。两人互相发送表情包，戏称这是“精神时刻”和“寻找耶稣”，全程充满欢乐。,Nathan and Aaron are discussing a video which Nathan sent. ,内森和亚伦正在讨论内森发来的视频。,translate_then_summarize,qwen3.5:27b,qwen3.5:27b,2
gold_00016,215,"Freddie: What are you watching on Netflix? I've just finished Mad Men.
Kelly: I've just finished The Crown. 
Freddie: There should be new episodes coming soon.
Kelly: OMG! i can't wait! :)
Freddie: Try Outlander or The Tudors in the meantime.
Jim: i'm watching I, Zombie.
Bob: try Grimm or Sabrina. They're both great!
Kelly: they are all horrible and disgusting! 
Bob: i think they are funny. They're just TV shows don't take them too seriously. x 
Greg: I'm watching House of Cards though must admit the new series is boring.
Mike: i agree. not the same without Kevin Spacey! You should try The West Wing if you enjoy political dramas.
Greg: Netflix original Bodyguard is supposed to be good from what I've heard.
Mary: I'm a bit ashamed to confess i enjoy stuff like Pretty Little Liars or Gossip Girl ;)
Nancy: don't be ashamed i enjoy them too! and my favourite one is Desperate Housewives!!!
Mary: I know! I watched it twice!
Alan: I'm catching up with Friends.
Nancy: OMG! i used to love Friends!","弗雷迪：你在奈飞上看什么？我刚看完《广告狂人》。
凯莉：我刚看完《王冠》。
弗雷迪：应该很快就会有新剧集上线。
凯莉：天哪！我等不及了！:)
弗雷迪：在此期间，你可以试试《古战场传奇》或《都铎王朝》。
吉姆：我正在看《我是僵尸》。
鲍勃：试试《格林》或《萨布丽娜》。这两部都很棒！
凯莉：它们全都糟糕透顶、令人作呕！
鲍勃：我觉得它们很有趣。它们只是电视剧，别太当真。x
格雷格：不过我得承认，我正在看《纸牌屋》，但新系列有点无聊。
迈克：我同意。没有凯文·史派西就不一样了！如果你喜欢政治剧，可以试试《白宫风云》。
格雷格：我听说奈飞原创剧《贴身保镖》很不错。
玛丽：有点不好意思承认，但我喜欢《美少女的谎言》或《绯闻女孩》这类剧 ;)
南希：别不好意思，我也喜欢！而且我最喜欢的是《绝望主妇》！！！
玛丽：我知道！我看了两遍！
艾伦：我正在补看《老友记》。
南希：天哪！我以前超爱《老友记》！",众人讨论奈飞剧集，提及《广告狂人》《王冠》等，对《纸牌屋》新季评价不一，并分享了对《老友记》《绝望主妇》等剧的喜爱。,"Freddie, Kelly, Jim, Greg, Bob, Mike, Mary, Alan and Nancy are watching different shows on Netflix.",弗雷迪、凯利、吉姆、格雷格、鲍勃、迈克、玛丽、艾伦和南希正在netflix上观看不同的节目。,translate_then_summarize,qwen3.5:27b,qwen3.5:27b,2
