model,test_index,ref_event_id,model_event_id,alignment_score,weak_match,ref_speech_act,model_speech_act,ref_speech_category,model_speech_category,ref_intended_meaning,model_intended_meaning,ref_actor,model_actor,ref_action,model_action,ref_object,model_object,ref_recipient,model_recipient,ref_evidence,model_evidence,intended_similarity,action_similarity,evidence_similarity,error_type
aya32b,23,1.0,1.0,0.4621304445948996,False,disclosure,realization,inform_update,other,Anne confirms that Mark lied to her about his age.,Mark lied about his age.,Mark,,lied about age,lying,age,age,Anne,,he told me he's 30 he's 40,"You were right, he was lying to me :/",0.6603603603603604,0.11052631578947367,0.2733333333333333,
aya32b,23,,2.0,,,,inquiry,,,,Seeking more information about the situation.,,,,asking,,details of the lie,,Anne,,"Oh no, what happened?",,,,extra_model_event
aya32b,23,,3.0,,,,identification,,,,Identifying the person in question.,,,,identifying,,Mark,,,,who? that Mark guy?,,,,extra_model_event
aya32b,23,,4.0,,,,confirmation,,,,Confirming the identity and the lie.,,,,confirming,,Mark's lie about his age,,,,"yeah, he told me he's 30, today I saw his passport - he's 40",,,,extra_model_event
aya32b,23,,5.0,,,,questioning importance,,,,Questioning the significance of the lie.,,,,questioning,,importance of the lie,,Anne,,You sure it's so important?,,,,extra_model_event
aya32b,30,1.0,1.0,0.7211095305832147,False,request,request,question_request,question_request,Mary asks Carter to lend her some money.,Mary asks Carter for money.,Carter,Mary,lend money,lend,money,a few box,Mary,Carter,lend me a few box,lend me a few box,0.6716417910447761,0.6333333333333333,1.0,
aya32b,30,2.0,3.0,0.6418691588785046,False,commitment,condition,commitment_plan,other,Carter agrees to lend Mary money in about an hour.,Carter will lend Mary money after an hour.,Carter,Carter,lend money,give,money,an hour,Mary,,"okay, give me an hour",give me an hour,0.6996376811594203,0.049999999999999996,0.8694444444444445,
aya32b,30,,2.0,,,,agreement,,,,Carter agrees to lend Mary money.,,Carter,,lend,,a few box,,Mary,,okay,,,,extra_model_event
aya32b,39,2.0,5.0,0.5543241886918702,False,update,statement,inform_update,inform_update,Ala says she is on her way to an important meeting.,Mentioning an upcoming meeting.,Ala,Ala,go to meeting,going to a meeting,meeting,,,,"I'm on my way to a meeting Yes, keep your finger crossed",And I'm on my way to a meeting,0.3355284552845529,0.6649769585253457,0.6666279069767442,
aya32b,39,3.0,6.0,0.42206613988879127,True,commitment,request,commitment_plan,question_request,Ala agrees to stay in touch about how the meeting goes.,Asking Ala to inform her about the meeting's outcome.,Ala,Ala,update Tina,let me know,meeting outcome,how the meeting went,Tina,Tina,"Ok darling, in touch","Sure, let me know how did it go",0.4738888888888889,0.12727272727272726,0.10980392156862744,
aya32b,39,1.0,,,,update,,,,Tina says her flight was delayed and she will take the evening flight home.,,Tina,,catch evening flight,,evening flight back home,,,,I'll catch the evening flight back home,,,,,omitted_reference_event
aya32b,39,,1.0,,,,compliment,,,,Emirates staff look impressive.,,,,,,Emirates staff,,,,"I'll tell you something, this Emirate staff looks amazing, as movie stars",,,,extra_model_event
aya32b,39,,2.0,,,,agreement,,,,Agreeing with Tina's observation.,,,,,,,,,,"Oh yes, I know, that's for purpose",,,,extra_model_event
aya32b,39,,3.0,,,,complaint,,,,Expressing frustration about her travel experience.,,Tina,,kept us,,Emirates staff,,,,"And I sucked at the airport, they've kept us one hour in the plane and finally I'll catch the evening flight back home",,,,extra_model_event
aya32b,39,,4.0,,,,sympathy,,,,Expressing empathy for Tina's situation.,,,,,,,,Tina,,"Oh, poor you",,,,extra_model_event
aya32b,65,1.0,3.0,0.5034255599472991,False,suggestion,make suggestion,suggestion_invitation,suggestion_invitation,Ana suggests that she and Catherine visit grandma tomorrow.,Propose a visit to their grandmother the next day.,Ana and Catherine,,visit grandma,visit,grandma,grandma,,,Wanna go visit grandma tomorrow?,Wanna go visit grandma tomorrow? I miss her.,0.2006625891946993,0.6277777777777778,0.7947368421052632,
aya32b,65,3.0,4.0,0.552112676056338,False,commitment,accept suggestion,commitment_plan,agreement_confirmation,Catherine says she will call Ana after waking up.,Agree to Ana's proposal and plan to call her when she wakes up.,Catherine,Catherine,call,call,,Ana,Ana,,I'll call you when I wake up,Yeah that would be nice :) I'll call you when I wake up,0.2897727272727273,1.0,0.7150919467343055,
aya32b,65,2.0,,,,acceptance,,,,Catherine agrees to visit grandma with Ana.,,Catherine,,go with Ana,,visit grandma,,Ana,,Yeah that would be nice,,,,,omitted_reference_event
aya32b,65,,1.0,,,,check availability,,,,Inquire if Catherine is available to make plans.,,,,,,,,Catherine,,You sleeping?,,,,extra_model_event
aya32b,65,,2.0,,,,respond availability,,,,Inform Ana that she is not yet asleep and available.,,,,,,,,Ana,,Not yet.,,,,extra_model_event
aya32b,66,1.0,1.0,0.7226190476190477,False,information sharing,sharing information,inform_update,inform_update,Joyce shares a link about a cheap ticket or deal.,presenting a link to a cheap ticket,Joyce,,share link,sharing,link,<link>,Michael and Edson,"Michael, Edson",Check this out! <link>,Check this out! <link>,0.6073529411764705,0.24705882352941178,1.0,
aya32b,66,2.0,3.0,0.7887668918918919,False,decision,decision,other,other,Edson decides to book a ticket immediately.,deciding to book the ticket immediately,Edson,Edson,book ticket,booking a ticket,ticket,,,,I'm booking my ticket now!!,No way! I'm booking my ticket now!!,0.6817073170731707,0.5451851851851852,0.846505376344086,
aya32b,66,,2.0,,,,expression of surprise,,,,expressing that the ticket is inexpensive,,,,,,,,,,That's cheap!,,,,extra_model_event
aya32b,67,1.0,1.0,0.5064671482628139,False,concern,information sharing,emotion_social,inform_update,Jane thinks the trip may take at least 3 hours and does not want to be late.,The estimated travel time is at least 3 hours.,,,take at least 3 hours,sharing travel time estimate,trip,travel time of 3 hours or more,,Steven,google maps says it is at least 3h it's almost 300km,google maps says it is at least 3h,0.41065573770491803,0.09999999999999999,0.8241126070991431,
aya32b,67,2.0,5.0,0.5212819719471947,False,request,proposal,question_request,suggestion_invitation,Jane asks Steven to meet earlier at 4:30 instead of 5.,Let's meet at 4:30 instead of 5 to avoid stress.,Jane and Steven,Jane,meet,proposing changed meeting time,4:30 instead of 5,new meeting time: 4:30,,Steven,let's meet at 4:30 instead of 5,"let's meet at 4:30 instead of 5, ok?",0.6511935208866155,0.08235294117647059,0.9356453028972783,
aya32b,67,3.0,6.0,0.5538680926916221,False,acceptance,agreement,agreement_confirmation,agreement_confirmation,Steven agrees to meet Jane at 4:30.,Agreed to meet at 4:30.,Jane and Steven,Steven,meet,agreeing to the new meeting time,4:30,meeting time changed to 4:30,,Jane,we can meet at 4:30,"ok, if u reaaly want, we can meet at 4:30",0.7298029556650246,0.07777777777777777,0.6804901960784313,
aya32b,67,4.0,,,,confirmation,,,,Steven agrees that the main entrance is a good meeting place.,,Jane,,wait,,main entrance,,Steven,,main entrance is good for me,,,,,omitted_reference_event
aya32b,67,,2.0,,,,assurance,,,,I can make the trip in 2 hours.,,,,assuring shorter travel time,,travel time of 2 hours,,Jane,,"I used to make it in 2, trust me :D",,,,extra_model_event
aya32b,67,,3.0,,,,concern expression,,,,"The distance is almost 300km, which might be stressful.",,,,expressing concern,,the long distance,,Steven,,but it's almost 300km..,,,,extra_model_event
