model,schema_field,quality_score,primary_metric,supporting_metrics,main_failure_signal,interpretation
aya32b,semantic_grounding.action,0.179,action_slot_accuracy,"action_null_rate=0.356, action_missing_count/example=0.694, action_mismatch_count/example=1.592",missing or incorrect action role in aligned events,weak action role filling; null and mismatch rates show why.
aya32b,semantic_grounding.actor,0.315,actor_slot_accuracy,"actor_null_rate=0.592, actor_missing_count/example=1.347, actor_mismatch_count/example=0.429",missing or incorrect actor role in aligned events,weak actor role filling; null and mismatch rates show why.
aya32b,semantic_grounding.event_granularity,0.3537414965986395,"1 - min(abs(event_count_diff_mean)/3, 1)","event_count_diff_mean=1.939, over_segmented_examples=44/50, under_segmented_examples=0/50, extra_event_rate=0.458",over-segmentation or under-segmentation of dialogue events,weak event granularity control.
aya32b,semantic_grounding.intended_meaning,0.4525150848445389,intended_meaning_similarity,"final_outcome_similarity=0.481, event_coverage=0.849",literal or partial interpretation instead of concise semantic meaning,weak intended-meaning abstraction from dialogue turns.
aya32b,final_outcome,0.4805686235361091,final_outcome_similarity,"low_final_outcome_examples=11/50, informativeness=2.691, faithfulness=3.023",final concise outcome drifts from reference outcome,weak final-outcome preservation.
aya32b,semantic_grounding.recipient,0.5,recipient_slot_accuracy,"recipient_null_rate=0.240, recipient_missing_count/example=0.102, recipient_mismatch_count/example=0.367",missing or incorrect recipient role in aligned events,weak recipient role filling; null and mismatch rates show why.
gemma27b,semantic_grounding.action,0.433,action_slot_accuracy,"action_null_rate=0.000, action_missing_count/example=0.000, action_mismatch_count/example=1.500",missing or incorrect action role in aligned events,weak action role filling; null and mismatch rates show why.
gemma27b,semantic_grounding.object,0.493,object_slot_accuracy,"object_null_rate=0.267, object_missing_count/example=0.477, object_mismatch_count/example=0.659",missing or incorrect object role in aligned events,weak object role filling; null and mismatch rates show why.
gemma27b,final_outcome,0.5230401142512836,final_outcome_similarity,"low_final_outcome_examples=7/50, informativeness=2.537, faithfulness=3.118",final concise outcome drifts from reference outcome,weak final-outcome preservation.
gemma27b,semantic_grounding.intended_meaning,0.5288364670890393,intended_meaning_similarity,"final_outcome_similarity=0.523, event_coverage=0.677",literal or partial interpretation instead of concise semantic meaning,weak intended-meaning abstraction from dialogue turns.
gemma27b,semantic_grounding.actor,0.615,actor_slot_accuracy,"actor_null_rate=0.223, actor_missing_count/example=0.500, actor_mismatch_count/example=0.568",missing or incorrect actor role in aligned events,fragile actor role filling; null and mismatch rates show why.
gemma27b,semantic_grounding.recipient,0.654,recipient_slot_accuracy,"recipient_null_rate=0.257, recipient_missing_count/example=0.068, recipient_mismatch_count/example=0.250",missing or incorrect recipient role in aligned events,fragile recipient role filling; null and mismatch rates show why.
qwen27b,semantic_grounding.action,0.424,action_slot_accuracy,"action_null_rate=0.000, action_missing_count/example=0.000, action_mismatch_count/example=1.580",missing or incorrect action role in aligned events,weak action role filling; null and mismatch rates show why.
qwen27b,final_outcome,0.48511181150015564,final_outcome_similarity,"low_final_outcome_examples=9/50, informativeness=2.632, faithfulness=3.135",final concise outcome drifts from reference outcome,weak final-outcome preservation.
qwen27b,semantic_grounding.intended_meaning,0.5427565123413615,intended_meaning_similarity,"final_outcome_similarity=0.485, event_coverage=0.821",literal or partial interpretation instead of concise semantic meaning,weak intended-meaning abstraction from dialogue turns.
qwen27b,semantic_grounding.speech_act,0.682,speech_act_category_accuracy,weak_match_count/example=0.320,"incorrect pragmatic function such as request, update, commitment, or confirmation",fragile speech-act categorization.
qwen27b,semantic_grounding.object,0.69,object_slot_accuracy,"object_null_rate=0.154, object_missing_count/example=0.200, object_mismatch_count/example=0.620",missing or incorrect object role in aligned events,fragile object role filling; null and mismatch rates show why.
qwen27b,semantic_grounding.actor,0.727,actor_slot_accuracy,"actor_null_rate=0.045, actor_missing_count/example=0.120, actor_mismatch_count/example=0.680",missing or incorrect actor role in aligned events,moderate actor role filling; null and mismatch rates show why.
