schema_field,aya32b,gemma27b,qwen27b
final_outcome,0.4805686235361091,0.5230401142512836,0.48511181150015564
participants,1.0,0.9891774891774893,0.9933333333333333
schema_validity,0.98,0.88,1.0
semantic_grounding.action,0.179,0.433,0.424
semantic_grounding.actor,0.315,0.615,0.727
semantic_grounding.event_coverage,0.8493333333333334,0.6773333333333333,0.8213333333333332
semantic_grounding.event_granularity,0.3537414965986395,0.9393939393939394,0.88
semantic_grounding.evidence,0.8283553448131207,0.8128439667160839,0.8285671626107665
semantic_grounding.intended_meaning,0.4525150848445389,0.5288364670890393,0.5427565123413615
semantic_grounding.object,0.507,0.493,0.69
semantic_grounding.overall,0.581782960803369,0.7891616161616163,0.810111111111111
semantic_grounding.recipient,0.5,0.654,0.859
semantic_grounding.speaker,0.957,0.992,0.987
semantic_grounding.speech_act,0.6156462585034014,0.6686046511627907,0.682
