,reference,prediction,rouge1,rouge2,rougeL,bs_f1_raw,bs_f1_rescaled
0,Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,Betty called Larry last time they were at the park together. Amanda has Betty's number.,31.25,13.33,18.75,90.44,43.34
1,Eric and Rob are going to watch a stand-up on youtube.,Eric and Rob are watching MACHINE on youtube.,60.0,44.44,60.0,92.77,57.14
2,Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,Lenny wants Bob to help her choose the first pair of purple trousers.,28.57,0.0,23.81,90.51,43.78
3,Emma will be home soon and she will let Will know.,Will will pick Emma up and she will be home soon.,81.82,50.0,45.45,93.8,63.25
4,Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,Jane is in Warsaw for dinner on the 19th and the 18th. They have lunch on Friday. Ollie is in Morocco.,33.33,15.62,30.3,88.65,32.74
5,Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,"Benjamin, Hilary and Daniel are meeting for drinks in the evening. They will go back to the apartment together. They will meet at 2 pm at the entrance to the conference hall. Hilary will take the keys and take a nap.",63.27,35.42,28.57,91.81,51.5
6,Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,"Max is looking for good sites to buy clothes from. Payton likes browsing, trying on, looking in the mirror and seeing how she looks. She likes reading books.",37.93,10.71,34.48,91.54,49.89
7,Rita and Tina are bored at work and have still 4 hours left.,Rita is tired at work. She keeps nodding off at her keyboard in hopes that the boss won't notice.,18.18,6.45,18.18,88.94,34.48
8,"Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.",Beatrice is in town shopping. Leo doesn't want to buy a scarf because he had a cold last winter.,41.67,13.04,29.17,90.42,43.24
9,Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,Eric is coming to Ivan's brother's wedding. Eric has a lot to do at home and doesn't know if his parents will let him.,70.83,47.83,37.5,92.72,56.86
10,Wanda wants to throw a party. She asks Gina to borrow her father's car and go do groceries together. They set the date for Friday. ,Wanda and Gina are going to a party on Friday. Gina will take her father's car and go grocery shopping.,51.06,26.67,46.81,92.45,55.26
11,Martin wrote a short review and won 2 cinema tickets on FB. Martin wants Aggie to go with him this week for the new film with Redford.,Martin won two cinema tickets to the new film with Redford organized by the movie magazine.,46.51,24.39,46.51,91.75,51.14
12,Charlee is attending Portuguese theater as a subject at university. He and other students are preparing a play by Mrożek translated into Portuguese.,Charlee is in Portuguese theatre class. One of her subjects at university is Portuguese theatre. Charlee is preparing a Polish translation into Portuguese.,39.13,18.18,39.13,90.87,45.9
13,"Ella rented a car, this makes things much faster for her and Tom. ",Ella rented a car.,47.06,40.0,47.06,93.58,61.94
14,Paul is going to share his Netflix account with Luke. In exchange Luke is going to contribute to the subscription. Paul will send Luke his bank details. Paul is on vacation with his girlfriend till tomorrow.,Luke is looking for someone to join Netflix family. Paul will send him the login and password on Sunday. Paul is on holiday with his girlfriend.,45.16,23.33,38.71,90.96,46.44
15,"Greg and Betsy have a lot of work today, so they cannot pick up Johnny from the kindergarten. However, it's Greg's turn to do it. Greg will try to find a solution.",Greg needs to stay after work. Betsy can't pick up Johnny. Greg will talk to Betsy later.,38.46,12.0,30.77,90.64,44.56
16,"Ethan, Toby and Marshall are making fun of Scott.","Toby, Marshall and Ethan are making fun of each other.",84.21,35.29,63.16,96.36,78.43
17,Igor has a lot of work on his notice period and he feels demotivated. John thinks he should do what he has to do nevertheless. ,Igor is demotivated to give too much work to someone on their notice period. John thinks it's irresponsible.,40.91,9.52,31.82,91.67,50.66
18,Clara is rewatching Dear White People and strongly recommends it to Neela.,Clara and Neela are watching Dear White People on Netflix. Clara and Neela are going to watch a series 3 next year. Clara is watching the rest of a movie and will try Dear White People.,33.33,13.04,25.0,89.8,39.58
19,Mike took his car into garage today. Ernest is relieved as someone had just crashed into a red Honda which looks like Mike's. ,Mike parked his car in the garage today.,31.25,13.33,31.25,91.02,46.79
20,Beth wants to organize a girls weekend to celebrate her mother's 40th birthday. She also wants to work at Deidre's beauty salon. Deidre offers her a few hours on Saturdays as work experience. They set up for a meeting tomorrow.,Deirdre invited Beth to a surprise party for her mother's 40th birthday. They will have a cuppa and a chat tomorrow after school.,41.18,15.15,35.29,89.38,37.08
21,Gloria has an exam soon. It lasts 4 hours. Emma sent her a link to a website with some texts from previous years so that she can prepare for the exam better.,The exam is a lottery. It's all about experience. There are rules and some texts from previous years. It's good to read all the texts. Emma will read everything from the website.,36.36,15.62,24.24,89.55,38.08
22,Adam and Karen are worried that May suffers from depression. Karen will call her friend who is a psychologist and ask for advice. ,Karen and Adam talked to May yesterday. May is depressed and doesn't want to see a specialist. Karen will call a psychologist to help her.,48.98,12.77,28.57,92.17,53.62
23,Mark lied to Anne about his age. Mark is 40.,Mark lied to Anne because he was 30 and she saw his passport today.,41.67,27.27,41.67,93.27,60.1
24,"Next week is Wharton's birthday. Augustine, Darlene, Heather and Walker want to buy him a paper shredder. Walker will make sure if Wharton really wants it. ","It's Wharton's birthday party next week. Darlene, Heather and Walker will buy Wharton's office equipment.",57.78,32.56,40.0,92.83,57.53
