id,test_index,dialogue,translated_dialogue,final_summary,reference_english_summary,reference_chinese_summary,pipeline,translation_model,summarization_model,num_model_calls
gold_00001,23,"Anne: You were right, he was lying to me :/
Irene: Oh no, what happened?
Jane: who? that Mark guy?
Anne: yeah, he told me he's 30, today I saw his passport - he's 40
Irene: You sure it's so important?
Anne: he lied to me Irene","安妮: 你说得对，他是在骗我 :/
艾琳: 噢，天哪，发生了什么？
简: 谁？那个马克？
安妮: 是的，他说他30岁，今天我看到了他的护照 - 他40岁了
艾琳: 你确定这很重要吗？
安妮: 他骗我了，艾琳",安妮发现男友马克谎报年龄，实际四十岁，而他说自己三十岁，令她感到被欺骗。,Mark lied to Anne about his age. Mark is 40.,马克向安妮隐瞒了自己的年龄。他40岁了。,translate_then_summarize,gemma3:27b,gemma3:27b,2
gold_00002,30,"Mary: hey, im kinda broke, lend me a few box
Carter: okay, give me an hour, im at the train station
Mary: cool, thanks","玛丽：嘿，我有点没钱了，借我几盒吧
卡特：好的，给我一个小时，我在火车站
玛丽：好的，谢谢",玛丽向卡特借钱，卡特答应在火车站给玛丽一小时后。,Mary ran out of money. Carter is going to lend her some in an hour.,玛丽的钱用完了，卡特打算一小时后借给她一点。,translate_then_summarize,gemma3:27b,gemma3:27b,2
gold_00003,39,"Tina: I'll tell you something, this Emirate staff looks amazing, as movie stars
Ala: Oh yes, I know, that's for purpose 
Ala: It's how it's suppose to be
Ala: They pay a lot of attention to the image
Tina: Looks nice, pleasure to observe
Tina: And I sucked at the airport, they've kept us one hour in the plane and finally I'll catch the evening flight back home
Tina: Could You imagine?
Tina: And you know, this way we had such a talkative pilot :-)
Ala: Oh, poor you
Ala: Pfff
Ala: And I'm on my way to a meeting
Tina: THE meeting?
Ala: Yes, keep your finger crossed
Tina: Sure, let me know how did it go
Ala: Ok darling, in touch","蒂娜: 我告诉你一件事，这些阿联酋的工作人员看起来太棒了，就像电影明星一样
阿拉: 哦是的，我知道，这是有目的的
阿拉: 应该就是这样
阿拉: 他们非常注重形象
蒂娜: 看起来不错，很高兴能看到
蒂娜: 而且我在机场表现很糟糕，他们让我们在飞机上等了一个小时，最后我才能搭上回家的晚班飞机
蒂娜: 你能想象吗？
蒂娜: 而且你知道吗，这样我们就有了一个健谈的飞行员 :-)
阿拉: 哦，可怜的你
阿拉: 哼
阿拉: 我正赶去开会
蒂娜: 那次会议？
阿拉: 是的，帮我祈祷一下
蒂娜: 好的，告诉我结果如何
阿拉: 好的亲爱的，保持联系",蒂娜抱怨阿联酋工作人员外表光鲜，但机场服务糟糕，延误了她的航班。阿拉要去开会，希望蒂娜为他祈祷。,Tina will catch the evening flight back home. Ala is on her way to the meeting. She will let Tina know how it went.,蒂娜将乘晚间航班回家。阿拉正在去开会的路上。她会让蒂娜知道事情的进展。,translate_then_summarize,gemma3:27b,gemma3:27b,2
gold_00004,65,"Ana: You sleeping?
Catherine: Not yet.
Ana: Wanna go visit grandma tomorrow? I miss her.
Catherine: Yeah that would be nice :) I'll call you when I wake up
Ana: Oki :) sleep well, good night.
Catherine:  Good night, u too.","安娜: 你睡了吗？
凯瑟琳: 还没有。
安娜: 想不想明天去拜访奶奶？我想她了。
凯瑟琳: 好啊，那会很棒的 :) 我醒了就给你打电话
安娜: 好的 :) 晚安，好好休息。
凯瑟琳: 晚安，你也一样。",安娜和凯瑟琳约定明天一起拜访奶奶，凯瑟琳醒来后会联系安娜。,Ana wants to visit grandma tomorrow. Catherine will go with her. She will call Anna when she wakes up.,安娜明天想去看望奶奶。凯瑟琳会和她一起去。她起床后会给安娜打电话。,translate_then_summarize,gemma3:27b,gemma3:27b,2
gold_00005,66,"Joyce: Check this out!
Joyce: <link>
Michael: That's cheap!
Edson: No way! I'm booking my ticket now!! ","乔伊斯: 看看这个！
乔伊斯: <link>
迈克尔: 好便宜！
埃德森: 真的吗！我马上订票！！",乔伊斯分享了便宜的机票链接，迈克尔觉得很划算，埃德森表示要立即预订。,Edson is booking his ticket now.,埃德森正在订票。,translate_then_summarize,gemma3:27b,gemma3:27b,2
gold_00006,67,"Jane: google maps says it is at least 3h <file_other>
Steven: I used to make it in 2, trust me :D
Jane: but it's almost 300km..
Steven: the road is new , we will make it ^^
Jane: I don't want  to stress out , let's meet at 4:30 instead of 5, ok?
Steven: ok, if u reaaly want, we can meet at 4:30
Jane: thx! 
Jane: I will wait at the main entrance or where?
Steven: main entrance is good for me;-) 
Steven: cu","简：谷歌地图显示至少需要3小时 <file_other>
史蒂文：我以前2小时就能到，相信我 :D
简：但差不多300公里呢..
史蒂文：路是新建的，我们一定能赶到的 ^^
简：我不想太紧张，我们4点30见面好吗，而不是5点，好吗？
史蒂文：好的，如果你真的想，我们可以4点30见面
简：谢谢！
简：我会在主入口等，还是在哪里？
史蒂文：主入口对我来说很好；-)
史蒂文：回头见",两人约定4点30在主入口见面。 史蒂文认为路况好，能比预计时间更快到达。,Jane wants to leave at 4.30 instead of 5 because Google Maps suggests the 300 km drive should take them at least 3 hours and she doesn't want to be late. She will wait for Steven at the main entrance.,简想4点半就走，而不是等到5点，因为谷歌地图提示300公里的车程至少需要3小时，她不想迟到。她会在正门处等史蒂文。,translate_then_summarize,gemma3:27b,gemma3:27b,2
gold_00007,78,"Fiona: Are you free?
Tina: Yes, what's up?
Fiona: I'm trying to prepare a nice dinner for Chris and I thought that maybe I could prepare this tart of yours :)
Tina: I'm flattered!
Fiona: Well, it IS delicious :) Could help me do it?
Tina: Sure! It's not difficult. Do you have anything ready?
Fiona: I must admit I bought the crust...
Tina: Oh, ok :P Pity, but well, it's too late now.
Fiona: I tried making the filling once, but I finished with lemony scrambled eggs...
Tina: It happens, don't worry. The thing is that once you start adding eggs you can't stop mixing it, otherwise you'll end up with scrambled eggs.","菲奥娜: 你有空吗？
蒂娜: 有啊，怎么了？
菲奥娜: 我正想为克里斯准备一顿不错的晚餐，想看看能不能做你做的那个馅饼 :)
蒂娜: 真是荣幸！
菲奥娜: 毕竟，它真的很好吃 :) 你能帮我一起做吗？
蒂娜: 当然！不难。你准备好什么了吗？
菲奥娜: 我得承认，我买的现成的派皮…
蒂娜: 哦，好吧 :P 可惜了，不过现在也没办法了。
菲奥娜: 我试过一次做馅料，结果做成了柠檬味的炒鸡蛋…
蒂娜: 这种事很常见，别担心。关键在于一旦你开始加鸡蛋，就不能停止搅拌，否则就会变成炒鸡蛋。",菲奥娜想向蒂娜求助，一起为克里斯做馅饼，但她买的是现成派皮，且第一次尝试做馅料失败了。蒂娜表示可以帮忙。,Fiona wants to prepare dinner for Chris. She is thinking of Tina's tart. She will help her make it.,菲奥娜想为克里斯准备晚餐。她想起了蒂娜做的馅饼。蒂娜会帮她做的。,translate_then_summarize,gemma3:27b,gemma3:27b,2
gold_00008,86,"Olafur: are we doing anything for New Year's Eve?
Nathalie: I was thinking about something classy, like opera or sth like that
Zoe: how much does it cost?
Olafur: opera is not for me
Nathalie: so what do you propose?
Nathalie: it's 100$ 
Olafur: I was thinking about partying somewhere
Nathalie: partying sounds fun, as long as it will be classy
Zoe: <file_link>
Zoe: Breakfast at Tiffany's party sounds classy
Olafur: <file_link> 
Olafur: is it classy enough?
Nathalie: :O
Nathalie: this club is AMAZING
Zoe: whoa
Nathalie: we'll going to Soho then
Olafur: we just need to hurry up and buy some tickets soon
Zoe: sure","奥拉夫: 我们新年夜有什么安排吗？
娜塔莉: 我在想做些高雅的事情，比如歌剧或者类似的东西
佐伊: 多少钱？
奥拉夫: 歌剧不适合我
娜塔莉: 你有什么提议？
娜塔莉: 100美元
奥拉夫: 我在想去哪里派对
娜塔莉: 派对听起来很有趣，只要是高雅的
佐伊: <file_link>
佐伊: 《蒂凡尼的早餐》主题派对听起来很优雅
奥拉夫: <file_link> 
奥拉夫: 这样够优雅吗？
娜塔莉: :O
娜塔莉: 这个俱乐部太棒了
佐伊: 哇
娜塔莉: 那我们去Soho吧
奥拉夫: 我们只需要赶紧买票了
佐伊: 好的",新年夜，三人决定去Soho参加《蒂凡尼的早餐》主题派对，并需要尽快购票。,"Nathalie, Olafur and Zoe are planning the New Year's Eve. Nathalie wants something classy. Olafur doesn't like opera. They want to go to the Breakfast at Tiffany's party in Soho.",娜塔莉、奥拉维尔和佐伊正在做新年前夜的计划。娜塔莉想要有格调的。但奥拉维尔不喜欢歌剧。他们想去苏豪区蒂芙尼的聚会上吃早餐。,translate_then_summarize,gemma3:27b,gemma3:27b,2
gold_00009,120,"John: wanna go see ""A Star is Born"" on Wed?
Joan: sorry can't
Joan: super busy 
Joan: don't have time for anything :( 
John: that's a shame
Joan: I'm free on Thursday
John: I could do Thursday
Joan: ok! so around 8pm?
John: sure sounds great
John: I'll see where it's palying and send you the details
Joan: ok great!","约翰: 想周三去看《一个明星的诞生》吗？
琼: 抱歉，不行
琼: 超级忙
琼: 没时间做任何事了 :(
约翰: 真可惜
琼: 周四我有空
约翰: 周四可以
琼: 好！大概晚上8点左右？
约翰: 当然，听起来不错
约翰: 我看看在哪里上映，然后把细节发给你
琼: 好极了！",琼周三没空，但周四晚上八点左右可以和约翰一起看《一个明星的诞生》。约翰会发电影细节给琼。,"Joan and John are going to watch ""A Star is Born"" on Thursday around 8 p.m.",琼和约翰星期四晚上8点左右去看《一个明星的诞生》。,translate_then_summarize,gemma3:27b,gemma3:27b,2
gold_00010,137,"Peyton: I have been asking you to bring that video game for me
Cameron: Honey, I am not having enough time to come home
Peyton: When would you come home?
Cameron: I will have to stay out of town for another week i guess
Peyton: Cant you just deliver that game through the courier? :P
Cameron: Dont be mean :/
Peyton: Get the job done and come to home then. ASAP :P","佩顿: 我一直在让你给我带那个游戏。
卡梅隆: 亲爱的，我没时间回家。
佩顿: 你什么时候回家？
卡梅隆: 我想我可能要再在外面待一个星期。
佩顿: 你不能通过快递把游戏送过来吗？ :P
卡梅隆: 别这么刻薄 :/
佩顿: 把工作做完然后就回家。越快越好 :P",佩顿催促卡梅隆尽快回家并把游戏带回来，卡梅隆表示可能要再过一周才能回家，且不愿快递游戏。,Peyton is expecting Cameron to bring the video game. Cameron will probably be out for another week.,佩顿希望卡梅隆能带游戏机过来，但是卡梅隆可能还要再缺席一周。,translate_then_summarize,gemma3:27b,gemma3:27b,2
