,reference,prediction,rouge1,rouge2,rougeL,bs_f1_raw
0,汉娜需要贝蒂的电话号码，但阿曼达没有。她得联系拉里。,上次他们一起在公园 Amanda有Betty的电话,21.05,11.11,15.79,56.52
1,埃里克和罗伯要在youtube上看一场单口相声。,Eric和Rob正在用Youtube 监视MACHINE系统。,20.69,0.0,20.69,57.21
2,莱尼无法决定买哪条裤子。鲍勃就此给莱尼提了些建议。莱尼听了他的建议，选了质量最好的裤子。,Lenny Bob想帮她选第一件紫色裤子,11.32,3.92,11.32,60.78
3,艾玛很快就会回家，而且她会告诉威尔。,Will会接Emma回来 她很快就会回家,55.17,37.04,41.38,72.31
4,简在华沙，她和奥利有个聚会。她把重要的日子忘了，本来他们周五会共进午餐。但是奥利无意间给简打了个电话，聊起了威士忌。于是简取消了午餐。下午6点他们见面喝茶。,"Jane在华沙吃晚饭,他们周五有午餐,奥利在摩洛哥",26.67,15.91,24.44,67.75
5,希拉里有公寓的钥匙。本杰明想拿到钥匙，去公寓打个盹。希拉里和一些法国人正在la cantina共进午餐。她下午2点会在会议厅门口与他们再碰面。本杰明和埃利奥特可能也会加入。晚上他们会一起喝酒。,本杰明、希拉里和丹尼尔晚上会一起喝酒 一起回公寓,33.01,21.78,27.18,70.25
6,佩顿给麦克斯提供了卖衣服的网站。他喜欢浏览、试穿衣服，但不一定都会买。他经常买衣服和书，因为他也喜欢阅读。,"马克斯在找好地方买衣服。佩顿喜欢浏览,尝试,看镜子,看看她的样子。她喜欢看书。",40.0,20.51,27.5,74.62
7,丽塔和蒂娜感觉工作很无聊，但离下班还有4个小时。,丽塔在工作上累了 她不停地在键盘上点头 希望老板不会注意到,16.33,8.51,16.33,61.04
8,比阿特丽斯想给利奥买条围巾，虽然对方不喜欢围巾。但她关心利奥的健康，不管他怎么想，她都会给他买一条围巾。,比阿特丽斯在镇上购物 Leo不想买围巾 因为他去年冬天感冒了,30.14,14.08,27.4,68.37
9,埃里克不知道他的父母是否允许他参加伊万哥哥的婚礼。伊万会和他们谈谈的。,艾瑞克要来参加伊凡哥哥的婚礼,38.3,26.67,38.3,72.71
10,旺达想办个聚会。她问吉娜借她父亲的车，两人一起去买聚会用的东西。他们把聚会的日期定在了周五。,云达和吉娜周五要去参加派对 吉娜会带她父亲的车去杂货店购物,34.29,17.65,25.71,70.05
11,马丁写了一篇短评，在fb上获得了2张电影票。他想让阿吉这周和他一起去看雷德福的新电影。,马丁赢得了两张电影门票 与雷德福德合作的新电影 由电影杂志组织。,44.12,27.27,44.12,73.99
12,查利在大学主修葡萄牙戏剧。他和其他同学正在准备一部由姆罗热克翻译成葡萄牙语的戏剧。,Charlee正在准备将波兰文译为葡萄牙文。,29.63,19.23,29.63,68.91
13,艾拉租了辆车，这让她和汤姆能够更快地完成很多事。,艾拉租了辆车,42.86,38.46,42.86,74.75
14,保罗会和卢克分享他的netflix账户。作为交换，卢克会出部分订阅的钱。保罗会把他的银行账户信息发给卢克。他和女朋友的度假明天才结束。,Luke正在找人加入Netflix家族 Paul周日会给他寄登录和密码 Paul正和女友一起度假,22.99,4.71,20.69,62.4
15,格雷格和贝茜今天都有很多事要做，所以他们不能去幼儿园接约翰尼了。但是，今天本该轮到格雷格来接，他会努力找一个解决方案。,贝茜不能接强尼 格雷格待会再跟贝茜谈,28.17,11.59,28.17,63.34
16,伊森托比和马修在取笑斯科特。,"托比,马歇尔和伊森 正在取笑对方。",66.67,32.0,44.44,80.72
17,通知期限内伊戈尔有很多事情要做，对此他感觉很消极。约翰则认为他应该做自己必须要做的事。,伊戈尔在通知期给某个人太多工作 被激怒了 约翰认为这是不负责任的,34.29,17.65,25.71,66.82
18,克拉拉正在复习《亲爱的白种人》，还强烈推荐给了妮拉。,"克拉拉和内拉正在看《亲爱的白种人》。 克拉拉和内拉明年将看系列3。 克拉拉正在看电影的其余部分,并将尝试《亲爱的白种人》。",32.88,25.35,32.88,73.99
19,迈克今天把车停在了车库。欧内斯特松了一口气，因为有人刚刚撞上了一辆红色本田车，看起来很像迈克的。,Mike今天把车停在车库里,29.63,23.08,29.63,66.05
20,贝丝想组织一个女生周末来为妈妈庆祝40岁生日。她还想到黛德丽的美容院工作。于是黛德丽每周六让她去几小时积攒工作经验。她们准备明天碰个面。,Deirdre邀请Beth参加一个惊喜派对 庆祝她母亲40岁生日,21.43,12.2,19.05,63.0
21,格洛丽亚马上要考试了。整整4个小时。艾玛给她发了一个网站的链接，上面有往年的一些考题，这样她就可以更好地备考了。,"考试是彩票,都是经验问题。有前些年的规则和一些文本。阅读所有文本是件好事。Emma会阅读网站上的所有内容。",27.08,8.51,16.67,63.74
22,亚当和卡伦担心梅患上了抑郁症。卡伦会给自己的心理学家朋友打电话，征求她的意见。,卡伦和亚当昨天和5月谈过了 May很沮丧 不想见专家,27.59,7.14,17.24,60.8
23,马克向安妮隐瞒了自己的年龄。他40岁了。,马克对安妮撒谎 因为他30岁 她今天看到他的护照,36.84,11.11,31.58,74.64
24,下周是沃顿的生日。奥古斯丁、达琳、希瑟和沃克想给他买一台碎纸机。沃克会先确定沃顿是不是真的想要这个礼物。,Darlene Heather和Walker会买沃顿的办公室设备,19.67,6.78,16.39,60.61
25,凯利很害怕芬兰雕塑花园里的人物，因为她觉得那些人物的脸非常病态。对奥利来说，这就像日本的人偶村，令人毛骨悚然。,Kelly和Mickey要去芬兰的一座雕塑花园 奥利去日本的Nagoro村,36.11,20.0,33.33,63.33
26,西拉打电话给一个人，对方没有接。,塞拉的电话号码关机了,25.0,9.09,25.0,66.4
27,贝拉和埃里克拒绝了一个客户的要求。他们老板很赞赏这个决定。他会吸引新的客户来。,Eric和Bella讨论了今天在老板房间发生的事 老板感谢驳回客户请求的决定,33.33,9.38,21.21,63.29
28,艾玛准备在去纽约的公交后排座位上打个盹。她和本下午4点半左右到。本会在她到站前15分钟叫醒她。,Emma会在下午4时30分左右到达纽约。,37.93,21.43,24.14,70.16
