id,test_index,dialogue,english_summary,final_summary,reference_english_summary,reference_chinese_summary,pipeline,summarization_model,translation_model,num_model_calls
gold_00001,23,"Anne: You were right, he was lying to me :/
Irene: Oh no, what happened?
Jane: who? that Mark guy?
Anne: yeah, he told me he's 30, today I saw his passport - he's 40
Irene: You sure it's so important?
Anne: he lied to me Irene","Anne reveals that Mark lied to her about his age, claiming to be 30 when his passport shows he is actually 40.",安妮透露，马克向她谎报了年龄，声称自己 30 岁，而他的护照显示他实际上已经 40 岁。,Mark lied to Anne about his age. Mark is 40.,马克向安妮隐瞒了自己的年龄。他40岁了。,summarize_then_translate,qwen3.5:27b,qwen3.5:27b,2
gold_00002,30,"Mary: hey, im kinda broke, lend me a few box
Carter: okay, give me an hour, im at the train station
Mary: cool, thanks","Mary asks Carter for money, and Carter agrees to meet her at the train station in an hour.",玛丽向卡特要钱，卡特同意一小时后在火车站与她见面。,Mary ran out of money. Carter is going to lend her some in an hour.,玛丽的钱用完了，卡特打算一小时后借给她一点。,summarize_then_translate,qwen3.5:27b,qwen3.5:27b,2
gold_00003,39,"Tina: I'll tell you something, this Emirate staff looks amazing, as movie stars
Ala: Oh yes, I know, that's for purpose 
Ala: It's how it's suppose to be
Ala: They pay a lot of attention to the image
Tina: Looks nice, pleasure to observe
Tina: And I sucked at the airport, they've kept us one hour in the plane and finally I'll catch the evening flight back home
Tina: Could You imagine?
Tina: And you know, this way we had such a talkative pilot :-)
Ala: Oh, poor you
Ala: Pfff
Ala: And I'm on my way to a meeting
Tina: THE meeting?
Ala: Yes, keep your finger crossed
Tina: Sure, let me know how did it go
Ala: Ok darling, in touch","Tina and Ala discuss the impressive appearance of Emirate staff before Tina shares her frustrating airport delay and talkative pilot. Ala then mentions heading to an important meeting, prompting Tina to wish her luck.",蒂娜和艾拉讨论了酋长国员工令人印象深刻的外表，随后蒂娜分享了她因航班延误而感到的沮丧以及那位话多的飞行员。艾拉接着提到要前往参加一场重要会议，蒂娜便祝她好运。,Tina will catch the evening flight back home. Ala is on her way to the meeting. She will let Tina know how it went.,蒂娜将乘晚间航班回家。阿拉正在去开会的路上。她会让蒂娜知道事情的进展。,summarize_then_translate,qwen3.5:27b,qwen3.5:27b,2
gold_00004,65,"Ana: You sleeping?
Catherine: Not yet.
Ana: Wanna go visit grandma tomorrow? I miss her.
Catherine: Yeah that would be nice :) I'll call you when I wake up
Ana: Oki :) sleep well, good night.
Catherine:  Good night, u too.",Ana and Catherine plan to visit their grandmother tomorrow and agree to call each other in the morning.,安娜和凯瑟琳计划明天去拜访她们的祖母，并约定早上互相打电话。,Ana wants to visit grandma tomorrow. Catherine will go with her. She will call Anna when she wakes up.,安娜明天想去看望奶奶。凯瑟琳会和她一起去。她起床后会给安娜打电话。,summarize_then_translate,qwen3.5:27b,qwen3.5:27b,2
gold_00005,66,"Joyce: Check this out!
Joyce: <link>
Michael: That's cheap!
Edson: No way! I'm booking my ticket now!! ","Joyce shares a link to a cheap ticket, prompting Edson to immediately book one.",乔伊斯分享了一个廉价机票的链接，促使埃德森立即预订了一张。,Edson is booking his ticket now.,埃德森正在订票。,summarize_then_translate,qwen3.5:27b,qwen3.5:27b,2
gold_00006,67,"Jane: google maps says it is at least 3h <file_other>
Steven: I used to make it in 2, trust me :D
Jane: but it's almost 300km..
Steven: the road is new , we will make it ^^
Jane: I don't want  to stress out , let's meet at 4:30 instead of 5, ok?
Steven: ok, if u reaaly want, we can meet at 4:30
Jane: thx! 
Jane: I will wait at the main entrance or where?
Steven: main entrance is good for me;-) 
Steven: cu","Jane and Steven agree to meet at 4:30 PM at the main entrance, with Jane expressing concern about the travel time despite Steven's confidence in the new road.",简和史蒂文约定下午 4 点 30 分在主入口见面，尽管史蒂文对新道路充满信心，简仍对行程时间表示担忧。,Jane wants to leave at 4.30 instead of 5 because Google Maps suggests the 300 km drive should take them at least 3 hours and she doesn't want to be late. She will wait for Steven at the main entrance.,简想4点半就走，而不是等到5点，因为谷歌地图提示300公里的车程至少需要3小时，她不想迟到。她会在正门处等史蒂文。,summarize_then_translate,qwen3.5:27b,qwen3.5:27b,2
gold_00007,78,"Fiona: Are you free?
Tina: Yes, what's up?
Fiona: I'm trying to prepare a nice dinner for Chris and I thought that maybe I could prepare this tart of yours :)
Tina: I'm flattered!
Fiona: Well, it IS delicious :) Could help me do it?
Tina: Sure! It's not difficult. Do you have anything ready?
Fiona: I must admit I bought the crust...
Tina: Oh, ok :P Pity, but well, it's too late now.
Fiona: I tried making the filling once, but I finished with lemony scrambled eggs...
Tina: It happens, don't worry. The thing is that once you start adding eggs you can't stop mixing it, otherwise you'll end up with scrambled eggs.","Fiona asks Tina for help preparing a tart for Chris, admitting she has already bought the crust and previously failed to make the filling. Tina agrees to assist and explains that the filling requires continuous mixing to avoid turning into scrambled eggs.",菲奥娜请求蒂娜帮忙为克里斯准备挞，她承认自己已经买好了挞皮，但之前制作馅料时失败了。蒂娜同意协助，并解释说馅料需要持续搅拌，以免变成炒鸡蛋。,Fiona wants to prepare dinner for Chris. She is thinking of Tina's tart. She will help her make it.,菲奥娜想为克里斯准备晚餐。她想起了蒂娜做的馅饼。蒂娜会帮她做的。,summarize_then_translate,qwen3.5:27b,qwen3.5:27b,2
gold_00008,86,"Olafur: are we doing anything for New Year's Eve?
Nathalie: I was thinking about something classy, like opera or sth like that
Zoe: how much does it cost?
Olafur: opera is not for me
Nathalie: so what do you propose?
Nathalie: it's 100$ 
Olafur: I was thinking about partying somewhere
Nathalie: partying sounds fun, as long as it will be classy
Zoe: <file_link>
Zoe: Breakfast at Tiffany's party sounds classy
Olafur: <file_link> 
Olafur: is it classy enough?
Nathalie: :O
Nathalie: this club is AMAZING
Zoe: whoa
Nathalie: we'll going to Soho then
Olafur: we just need to hurry up and buy some tickets soon
Zoe: sure","Olafur, Nathalie, and Zoe decide to attend a classy New Year's Eve party at a club in Soho after rejecting an opera option. They agree to purchase tickets immediately to secure their spots.",奥拉夫、娜塔莉和佐伊在拒绝了歌剧选项后，决定参加在苏豪区一家俱乐部举办的优雅新年前夜派对。他们同意立即购买门票以确保席位。,"Nathalie, Olafur and Zoe are planning the New Year's Eve. Nathalie wants something classy. Olafur doesn't like opera. They want to go to the Breakfast at Tiffany's party in Soho.",娜塔莉、奥拉维尔和佐伊正在做新年前夜的计划。娜塔莉想要有格调的。但奥拉维尔不喜欢歌剧。他们想去苏豪区蒂芙尼的聚会上吃早餐。,summarize_then_translate,qwen3.5:27b,qwen3.5:27b,2
gold_00009,120,"John: wanna go see ""A Star is Born"" on Wed?
Joan: sorry can't
Joan: super busy 
Joan: don't have time for anything :( 
John: that's a shame
Joan: I'm free on Thursday
John: I could do Thursday
Joan: ok! so around 8pm?
John: sure sounds great
John: I'll see where it's palying and send you the details
Joan: ok great!",John and Joan reschedule their movie plans from Wednesday to Thursday at 8 PM after Joan is unavailable on Wednesday. John will find the screening details and send them to Joan.,约翰和琼因琼周三无法出席，将电影计划从周三改至周四晚上 8 点。约翰将查找放映详情并发送给琼。,"Joan and John are going to watch ""A Star is Born"" on Thursday around 8 p.m.",琼和约翰星期四晚上8点左右去看《一个明星的诞生》。,summarize_then_translate,qwen3.5:27b,qwen3.5:27b,2
gold_00010,137,"Peyton: I have been asking you to bring that video game for me
Cameron: Honey, I am not having enough time to come home
Peyton: When would you come home?
Cameron: I will have to stay out of town for another week i guess
Peyton: Cant you just deliver that game through the courier? :P
Cameron: Dont be mean :/
Peyton: Get the job done and come to home then. ASAP :P","Peyton urges Cameron to deliver a video game via courier since Cameron will be out of town for another week. Cameron resists the suggestion, prompting Peyton to insist on getting the job done immediately.",佩顿敦促卡梅伦通过快递交付一款电子游戏，因为卡梅伦将离开城镇一周。卡梅伦拒绝了这个建议，促使佩顿坚持必须立即完成这项工作。,Peyton is expecting Cameron to bring the video game. Cameron will probably be out for another week.,佩顿希望卡梅隆能带游戏机过来，但是卡梅隆可能还要再缺席一周。,summarize_then_translate,qwen3.5:27b,qwen3.5:27b,2
